"","Chrysop_men","Din_raf","Dry_jav","Mei_tri","Mei_tuk","Mic_bra","Sas_abn"
"Chrysop_men",NA,-0.835834750191483,59.415130111769,28.6836256907038,57.1048831175909,43.9655133941849,39.7589959715985
"Din_raf",NA,NA,40.4106884510276,6.50638358175742,16.5558925304248,12.3992451206888,-7.80636609151389
"Dry_jav",NA,NA,NA,43.6112966239346,75.9338856062297,59.7722834667341,52.6885070876081
"Mei_tri",NA,NA,NA,NA,18.5361214554834,9.2377873088898,22.5294874088986
"Mei_tuk",NA,NA,NA,NA,NA,55.0085078520903,48.4003489819442
"Mic_bra",NA,NA,NA,NA,NA,NA,-5.43220480170538
"Sas_abn",NA,NA,NA,NA,NA,NA,NA
