"","Cam_mel","Cam_rub","Cel_ele","Cel_tor","Col_rub","Dry_lin","Picum_exi","Ven_cas"
"Cam_mel",NA,92.7819943599031,72.2390880495825,56.8408024420418,59.4362347614599,82.2490868624847,97.2813790627424,69.5475367168702
"Cam_rub",NA,NA,66.97088064434,54.8716933745218,59.4799666667672,83.5800078908306,97.3557272560001,69.6140893529778
"Cel_ele",NA,NA,NA,11.5128659029579,22.5501568145556,50.5200154905311,75.1029824208544,35.0101679451553
"Cel_tor",NA,NA,NA,NA,-0.145965414609356,26.5599876667387,59.8918439320502,31.5227318931385
"Col_rub",NA,NA,NA,NA,NA,46.6744158223888,62.1548737791549,3.46389742977324
"Dry_lin",NA,NA,NA,NA,NA,NA,86.4788861251227,58.4450114936211
"Picum_exi",NA,NA,NA,NA,NA,NA,NA,72.2664025870018
"Ven_cas",NA,NA,NA,NA,NA,NA,NA,NA
