"","Cam_gua","Cel_cas","Col_rub","Dry_lin","Leuco_fum","Mel_aur","Mel_puc"
"Cam_gua",NA,81.830156137705,68.9304435917729,92.5675931431344,80.0258890265021,73.8473905299609,58.1782313922913
"Cel_cas",NA,NA,44.313865781115,71.5187357361009,59.8922882018724,47.1609749339088,20.3509188366885
"Col_rub",NA,NA,NA,57.9354761652326,33.5899547669804,41.7027974619765,5.96795558610606
"Dry_lin",NA,NA,NA,NA,72.5930125599487,56.5040876236433,50.4736874931191
"Leuco_fum",NA,NA,NA,NA,NA,50.8502991813058,5.03855139907538
"Mel_aur",NA,NA,NA,NA,NA,NA,19.7352108912775
"Mel_puc",NA,NA,NA,NA,NA,NA,NA
