"","Cam_gay","Cam_gua","Cam_hae","Cam_leu","Cam_mag","Cam_mel","Cam_pol","Cam_rob","Cam_rub","Cel_cas","Cel_ele","Cel_flave","Cel_flavu","Cel_gra","Cel_lug","Cel_spe","Cel_tor","Chrysoc_luc","Chrysop_men","Col_aura","Col_auru","Col_mel","Col_pun","Col_rub","Dend_hyp","Dend_leu","Dend_maj","Dend_nog","Dend_syr","Dendroc_med","Dendrop_fus","Dendrop_nam","Dendrop_pyr","Dendrop_xan","Din_raf","Dry_jav","Dry_lin","Dry_mar","Dry_pil","Dry_sch","Dryob_min","Dryob_nut","Dryob_pub","Dryob_sca","Gec_gra","Leuco_albo","Leuco_ari","Leuco_bor","Leuco_fum","Leuco_vil","Mei_tri","Mei_tuk","Mel_aur","Mel_cac","Mel_car","Mel_ery","Mel_fla","Mel_for","Mel_hof","Mel_lew","Mel_puc","Mel_pyg","Mel_rad","Mel_sup","Mel_uro","Mic_bra","Pico_arc","Pico_dor","Pico_tri","Picum_aur","Picum_cir","Picum_exi","Picum_inn","Picum_neb","Picum_ruf","Picum_tem","Picus_awo","Picus_can","Picus_vai","Picus_vir","Sas_abn","Sas_och","Sph_nuc","Sph_rub","Sph_thy","Sph_var","Ven_aff","Ven_cal","Ven_cas","Ven_nig","Ven_pas","Ven_spi"
"Cam_gay",NA,15.5837393351882,4.61469053360925,9.82437934673918,10.5548174301719,20.2945591328105,9.77195945825363,9.65972500526522,9.32210315280626,8.89836032442811,9.23337462124774,19.9117890914291,6.04146448875627,5.96978735001697,8.29427394172515,5.19568067315725,6.32329835085179,39.7488191086303,5.81694254876255,8.25200397143471,6.19140554432806,6.22175757776809,7.16498592247584,5.49403903541757,-1.97629076999029,12.9583357513285,17.0867660284236,6.22539471907835,15.7307763869795,5.01368695117621,8.7078794901741,38.6207822435929,3.69202510861563,14.6523276575617,5.19515173380918,18.6431684199853,17.6497445345768,13.2932567209437,18.4975071883969,6.32588887423178,9.67914256627949,10.4475702745024,16.1741801211521,14.7096940248604,9.5626112364208,5.94885209527911,8.9957719362194,7.8314629660758,11.03764895707,9.65678592478367,7.85706327315027,8.76930914706671,6.21344582233084,21.5114461112037,7.51771855150165,7.21673192635596,8.58728788274784,5.72900863450865,13.1665656988342,15.0092946086446,6.09348986510597,5.20073005753727,10.3202256326059,8.34678428663296,8.78391580289242,25.3596826579273,16.447782033976,21.2928350572819,14.510715195164,8.17808641194337,9.45483448666389,5.54354928855211,31.3880575703608,17.6915608228407,26.8840016540635,10.7156252829623,7.61765589612258,8.95567134415047,7.48570047096515,5.75884840304,8.33623214012269,38.3837906141291,32.8761203555858,32.9484585652591,50.9398538334268,37.2883430122207,16.2947976701906,7.2583015062765,5.75869260251228,7.1910720373551,7.71083315318739,11.0065498927514
"Cam_gua",NA,NA,2.52131923343676,14.6171874908844,1.1936835928188,35.4029238199169,11.2920146610932,14.9583994745585,9.03324346098016,16.7511596959227,16.9165864287753,27.6304636007419,13.7639319207085,13.6886187231124,16.0129807487834,12.9143506270596,14.0170461798587,47.4674890401055,13.5356005728102,15.9680519921543,13.9083188992116,13.941247988668,14.8731972478956,13.2127077222514,18.6622388416702,20.6823126189587,25.1657272459756,13.8979404903188,23.4519054796992,13.3608569711745,16.4269243616794,46.3384449283753,27.4008515506189,22.3737215812729,12.9794653121906,26.4017124556942,25.4161667588992,21.0127589325344,26.2221451894313,14.049759081937,17.3942635523768,18.165694725104,23.8195650958338,22.4283644959525,17.2812828982117,13.6671957849871,16.7118569256345,15.5501187886257,18.7563142300171,17.3729630255369,15.575657196452,16.486440327642,13.8805919044892,29.4012694027991,15.3034859130568,14.9411759871278,16.3347127433651,13.886030580329,20.884342201124,22.7280417261936,13.8125502688037,12.8868297371046,17.9168130233759,15.483227518487,16.4877774215096,33.0783398502498,24.1635667293186,28.6085657581587,22.0143188052435,15.8973036337315,17.1735320816774,13.2622192196388,39.1067274997227,25.4102307538867,34.6026717886885,18.4342952140113,15.3375874210867,16.6742211270035,15.2047598568039,13.4777435121252,16.0465881658526,46.1024728425179,40.5947902866318,40.6671272750282,58.6585266814467,45.0070129432666,24.0134676026228,14.9769720713898,13.4773743432134,14.9097645866152,15.4295039174028,18.7252255003655
"Cam_hae",NA,NA,NA,5.15146699641796,-1.68177960301099,25.4009652315669,-8.18121991783455,5.80486534538046,1.50270824247679,7.74252814152867,7.95280897668927,18.6617117299154,4.7864443307697,4.71951087434319,7.04404767750159,3.94559894274966,5.06402140356759,38.4987373380181,4.56495688133611,7.00052493243628,4.93914166374312,4.97035826470589,5.89844705538098,4.2439452712883,7.23587420095896,11.7106049661452,15.9491950328674,4.80215674917171,14.4809552283526,2.99768985782151,7.45815688045799,37.3704333163787,18.1000605124718,13.4011705560828,3.95230287710504,17.4343066537864,16.4398157916549,12.0432616264608,17.2431858030354,5.05363123724055,8.42587959360097,9.19630512703362,14.8925902110829,13.459612134994,8.31252043908293,4.69551243008785,7.74446782404475,6.58024679407272,9.78754408593478,8.40616687893217,6.6068972546824,7.51870763238363,4.79107570830473,20.3276592740644,6.25564400964365,5.94188668562443,7.2718276946041,4.58830651748012,11.9158790689447,13.7592037253926,4.84245615970548,3.94470496873918,9.05064564355595,6.36864517500577,7.52209426433813,24.1096132831904,15.196755736764,19.8298645428507,13.125476918385,6.92855773677534,8.20478036791792,4.29346753950012,30.1379758206902,16.441479073748,25.6339201135345,9.46554353387269,6.36334086016418,7.70253247119988,6.23561531086185,4.50866188400123,7.07373348688442,37.1337210452997,31.6260386064931,31.6983764195267,49.6897750013073,36.038261263128,15.0447159140854,6.00821398115756,4.50859950388723,5.94096339621206,6.4607499689145,9.7564666755041
"Cam_leu",NA,NA,NA,NA,5.43535794827895,31.7069587408392,13.3108849430841,0.0682027714378891,-0.0937550145546945,12.8275791977049,12.9554781755424,24.002086698181,10.1069318617058,10.0592974745202,12.3839720006487,9.28601626756558,10.2463921678115,43.8391547339908,9.90547117969108,12.3130000132354,10.2600339438797,10.3088088319631,11.1664942237249,9.58364053495885,14.4827487597604,17.049391599365,20.3809926662225,10.074397157532,19.8185870899467,7.53337926849312,12.78946823762,42.7111478629015,23.0221396155525,18.7377968940888,9.31985800953961,22.7825549952222,21.761569357976,17.3817210832945,22.5804831770799,10.3813688427117,13.7496407055047,14.5347504724136,20.2176409827804,18.7999762482958,13.6529478120601,10.0362982122319,13.0128660000667,11.916132005367,15.1276701124893,13.7462793298754,11.9473148745001,12.8581806701045,10.240782989254,25.7712222557419,11.1599904657359,11.251182873786,12.5597634697453,10.0606209361558,17.2564533844196,19.0994136539223,10.1807264084931,9.22325424736158,14.1720951962584,11.5463614913444,12.8676371747088,29.4500482034562,20.5336265956019,25.0693974441641,18.4644949246209,12.2690125913662,13.5451977836227,9.63388491652043,35.4783931982871,21.7818964507683,30.9743374928938,14.805960910893,11.6998690248962,13.030354514245,11.5749456296172,9.84933488871353,12.4265757603973,42.4741386289775,36.9664559835134,37.0387941873433,55.0301923783245,41.3786786401483,20.3851332676313,11.3486291400761,9.84858016276458,11.281317158724,11.8010266309826,15.0968103458544
"Cam_mag",NA,NA,NA,NA,NA,31.2934504184533,7.95907584497386,4.59383837364579,0.176612456716256,12.4853170416509,12.5392252246197,23.4141251712347,9.54520638743944,9.47212143066049,11.796591125641,8.69801478722721,9.73528049112945,43.2511532023489,9.31902703026285,11.7423068207676,9.68429078269229,9.72355439355422,10.6167008833433,8.99627709829271,14.5856007267521,16.4658088558714,20.8957999642823,9.57713372905885,19.2355432382156,8.94708253334761,12.2096757913773,42.122901848733,23.193583785202,18.1573998312872,8.74845218731428,22.1994801126557,21.1986651170908,16.7961852835403,22.0062403229669,9.81213979143793,13.1673486181857,13.9479138929549,19.571191276129,18.2120261893152,13.0649469130527,9.44973436049684,12.479202424601,11.3323761129059,14.5399033674746,13.1559484671472,11.3592639179027,12.268717801382,9.64971483409586,25.1562538416124,10.8733611899007,10.7181328060389,12.0860441048108,9.50581555682335,16.6676249164827,18.5116858628257,9.59552576537003,8.60943157662011,13.5288009693321,10.7890724574395,12.2598715114816,28.8620178635454,19.9452592825304,24.4374868467284,17.8058692031254,11.6809778649612,12.9571962391955,9.04588338193077,34.8903916633057,21.1938949161787,30.3863359497623,14.2179593763033,11.1195708085233,12.453318955743,10.9879566762001,9.26137647267078,11.83563624652,41.886136891412,36.3784544489237,36.4507924230281,54.4421908437381,40.7906771055586,19.7971317643485,10.7606358865494,9.26101418926017,10.6934252669679,11.213158932432,14.5088873382856
"Cam_mel",NA,NA,NA,NA,NA,NA,16.2648206124222,32.021248089743,31.0854930179948,26.7562993509283,27.0225598085323,37.6256400974141,23.7592785407048,23.6838264326228,26.008159804952,22.9095269048586,24.0497146702363,57.4626653092761,23.5307868509487,25.9663283722537,23.9057806451176,23.9371229952351,24.8906222474324,23.2079038440331,17.1973104902796,30.6744707118927,34.9829893962309,24.0088592289146,33.4206027013196,21.9322765543796,26.4222244965968,56.3333013752952,21.6179082697796,32.3549816489976,22.976123666337,36.2421828726631,35.4010088066331,31.0079332773989,36.1805993972045,24.0519994895435,27.3933501938765,28.161455350662,33.8869572583366,32.4235409848781,27.2764582987355,23.6625697851126,26.7100736463974,25.5455857853612,28.7515018018857,27.3706511081067,25.5707532511108,26.483334625401,23.9198609492543,39.4353112591808,25.4688008046795,24.9365677207855,26.3373385289719,19.4429340421436,30.8793251579715,32.7231738385535,23.8079076085494,22.9158257463282,28.0427492390897,25.9377178546661,26.4966905926965,43.0716952934048,34.1615562676937,38.4406558854035,32.0635406749822,25.8925208185351,27.1687063273859,23.2573954973469,49.1019037454215,35.4054070315951,44.5978480752377,28.4294714917198,25.3330322803043,26.6711285242669,25.2000607146224,23.4729098221851,26.0491488330943,56.0976459120238,50.5899665643402,50.6623047754926,68.6537029560869,55.0021892209751,34.0086438802546,24.97214828451,23.472551205651,24.9049400337417,25.424681124917,28.7204014879185
"Cam_pol",NA,NA,NA,NA,NA,NA,NA,13.2686229351639,10.4699856012417,10.9763640113635,11.2430889263018,21.8471062830991,7.98107556867651,7.90528928467746,10.2296300571027,7.1309930630617,8.28292089388791,41.6841314759697,7.75234582811478,10.1877883838827,8.12721565883638,8.15864365790721,9.11087502986007,7.42937073968684,11.3612435691445,14.8990267224571,19.4145171341442,8.2665859739672,17.6685623069614,7.59119296485325,10.6437023877173,40.5559262286259,21.363123935193,16.5904287029449,7.20733747860122,20.6335482656579,19.6336915587244,15.2295145218626,20.4421123278539,8.27577067269141,11.6143319351194,12.3828805805415,18.1072446934805,16.645007142103,11.4979253493074,7.88418498361468,10.9315063820186,9.76702297733714,12.9729670052075,11.5921041333443,9.79239930914424,10.7048151470647,8.16029505486519,23.6358071479274,9.67448789537717,9.15916937065861,10.5590933115127,8.14300672622324,15.101846680361,16.9446869714251,8.02932513647536,7.13757048841277,12.2664443847451,10.3278220340873,10.7181351104753,27.2950315924388,18.3831590835255,23.3020807083083,16.4457687297151,10.1139920733553,11.3901745249797,7.4788616554964,33.3233699369984,19.6268731897443,28.8193142336634,12.6509376498689,9.55425084448109,10.8925936860513,9.42150781384407,7.69439654513731,10.2498960114492,40.3191154230626,34.8114327224894,34.8837707212869,52.8751691173045,39.2236553791242,18.2301100384851,9.19361451988926,7.69401850288487,9.12640712923407,9.64614740892852,12.9418680558993
"Cam_rob",NA,NA,NA,NA,NA,NA,NA,NA,-1.28080959630371,12.564757780805,12.6287479019207,24.0874914489394,10.1976363569244,10.143407613233,12.4687566881262,9.37145166518284,10.2773067202531,43.9245902274478,9.99128015289906,12.3338670442018,10.3086760495388,10.3912966451233,11.1388939425586,9.66846474877451,14.9154396222986,17.1362283975302,20.3855673536844,10.1462569475281,19.9014544301134,7.97585022823929,12.8639465840839,42.7965897164493,23.1471904754991,18.8194430829446,9.44380507161346,22.8803686884866,21.8590329417675,17.4687634019852,22.6723934069823,10.3630808641256,13.8136383016465,14.6169600828778,20.2889462806109,18.8853683519147,13.7383828969123,10.1189027292805,12.8481394155058,12.0000170007449,15.2120726192896,13.8304289246218,12.0327675041947,12.9407900117054,10.3227260387559,25.8682048978728,11.1816419656906,11.3500771593387,12.5258490366217,10.0590340842503,17.3418360651678,19.1849308801713,10.2614193413236,9.10988241735201,13.6806168957173,11.5216136425616,12.9499211840077,29.5354839140737,20.6188349281383,25.3457658890108,18.58428894242,12.3544482873119,13.6306332797534,9.71932040925825,35.5638286910436,21.8673319435061,31.0597729838338,14.8913964036308,11.7708351025794,13.097896220771,11.6569725820313,9.9347316269503,12.5120681668479,42.5595740838806,37.0518914762512,37.12422968581,55.1156278710639,41.4641141328861,20.4705686346716,11.4340522818282,9.93304705553277,11.3667045043902,11.8863897315075,15.1821412910425
"Cam_rub",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0720862266948,12.0559629456278,23.1943709955309,9.31568688484748,9.25168222233309,11.5765019624312,8.4782774777814,9.43248547211762,43.0314159227874,9.09868484701064,11.4985846593285,9.44797816918222,9.50122987415387,10.3357119602332,8.77616044471502,14.444242524717,16.2451575241512,20.3718573100918,9.2820611452796,19.0146398435567,8.06199821945249,11.9851788242648,41.9033867660382,22.7984182333186,17.9362230713049,8.53055779116992,21.9824927310416,20.9729111156995,16.5757953811017,21.7822251698099,9.55185073044538,12.9371510527972,13.7263820940825,19.3758479336769,17.992269138168,12.8452091813104,9.22824561363116,12.194339727264,11.1098997882045,14.3198672279034,12.9371742932226,11.1395443734903,12.0485481097995,9.4336215579672,24.94775753504,10.4174056391847,10.4762085142316,11.7657576743807,9.22200438106661,16.4483148613556,18.2918635681183,9.37313131851799,8.33450877080253,13.1269923408611,10.4889454330728,12.0509202428964,28.6422994988347,19.7248175025933,24.2979828897208,17.641107222295,11.4612647562569,12.7374589674509,8.82614610303733,34.6706543847718,20.9741576372852,30.1665986755038,13.9982220974099,10.8922997692651,12.2225687726563,10.7669478573764,9.0415896941747,11.6185063446957,41.6663997142841,36.1587171700303,36.2310553576507,54.2224535648434,40.5709398266652,19.5773944629067,10.5408941166372,9.04104688839876,10.4736366986882,10.9933652913541,14.2891086525299
"Cel_cas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.900188268250874,17.9090296521576,0.408948222114915,2.19879725784823,3.45024758790105,3.80193211452988,3.90657421146103,38.4045187472864,3.3193752135667,2.73359139298485,1.57562551623442,2.81227705756799,2.68454708664857,3.42311067266602,10.4795927757089,11.2783603664579,14.3887389668999,4.07248758948277,12.9496356792406,2.89619921238354,2.39424349545767,37.2848607167263,18.3895791418949,13.2869493881162,3.80460083657288,17.3718160243605,15.6673277632871,11.6673804700622,17.1337199699406,0.646162553634492,7.6225444414303,8.77204642332836,14.8045734229635,13.0208456974994,8.11603672715564,4.2961127383394,2.97480997762881,5.75007738869157,8.69962944192348,7.89057234352509,6.51320130556194,6.75304376601087,3.71075014525552,20.3976955217845,4.75696544270261,2.7126363776478,-0.877445763886243,4.46144961917242,11.8289699951441,13.394605203139,1.60562443279295,3.09278452477976,7.77788098982324,6.71947993165517,7.41408965099237,24.0228625817893,15.0661990090418,20.0609981307744,13.1574517683447,6.84270903635612,8.11889895406438,4.20758611600492,30.0520943977112,16.3555976502532,25.5480381026395,9.37966211037785,2.19792050404328,4.27973774205726,4.2615183058125,4.11610001509367,7.00039968558626,37.0478389775909,31.5401571829983,31.6124953945225,49.603893553462,35.9523798396332,14.8932353304057,5.3399690613618,2.25277081664835,4.20089852848404,5.59819691492658,7.96727411161198
