"","Dend_maj","Dendroc_med","Dry_mar","Dryob_min","Picus_can","Picus_vir"
"Dend_maj",NA,28.6078795221765,85.0699505077585,84.9103014735572,83.8584765662179,55.6767913518755
"Dendroc_med",NA,NA,43.0064487449792,47.5273167190051,38.9750595986483,22.4009284650516
"Dry_mar",NA,NA,NA,84.7459809194048,80.6702414743097,49.3192683931796
"Dryob_min",NA,NA,NA,NA,73.4992822362066,44.0968023169225
"Picus_can",NA,NA,NA,NA,NA,26.8286388989884
"Picus_vir",NA,NA,NA,NA,NA,NA
