"","Col_aura","Dry_pil","Dryob_pub","Leuco_vil","Mel_car","Mel_ery","Sph_var"
"Col_aura",NA,83.6393686632779,72.5008935418614,57.4934896304751,43.9548425960442,35.1717248197256,84.0266691263087
"Dry_pil",NA,NA,87.5832976683824,85.2602602541967,69.8142117961431,67.8180473633373,99.6340960236686
"Dryob_pub",NA,NA,NA,69.408834425009,40.1989237812359,57.2128945457081,88.6383417727758
"Leuco_vil",NA,NA,NA,NA,50.8829690566653,46.74570681199,85.6261968807539
"Mel_car",NA,NA,NA,NA,NA,27.3952971504038,70.9617719291632
"Mel_ery",NA,NA,NA,NA,NA,NA,70.2930512847391
"Sph_var",NA,NA,NA,NA,NA,NA,NA
