state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.045	145.751	0.970	38	0	0.000	0.271	0.533	-101.17	-159.96	0.00	0.00
2000	0.014	40.229	1.403	51	0	0.000	0.250	0.263	-102.78	-214.16	0.00	0.00
3000	0.344	102.026	1.653	34	0	0.000	0.222	-0.264	-99.54	-144.13	-0.00	-0.69
4000	0.004	61.188	1.466	50	0	0.000	0.250	-0.157	-94.30	-209.88	0.00	0.69
5000	0.044	161.834	1.393	47	0	0.000	0.226	-0.039	-101.00	-197.11	0.00	-0.69
6000	0.007	410.998	2.257	53	0	0.000	0.260	0.813	-109.96	-222.83	0.00	0.00
7000	0.113	268.900	1.155	49	0	0.000	0.184	-0.784	-112.72	-205.62	0.00	0.00
8000	0.029	28.765	1.417	39	0	0.000	0.274	-0.341	-101.18	-163.98	0.00	-1.53
9000	0.188	58.305	1.268	41	0	0.000	0.065	-1.307	-108.95	-172.12	0.02	0.00
10000	0.016	44.568	0.557	45	0	0.000	0.270	-0.408	-95.13	-188.70	-0.00	0.00
11000	0.052	117.465	1.405	39	0	0.000	0.328	0.051	-101.26	-164.02	0.00	-0.93
12000	0.042	80.919	1.093	44	0	0.000	0.420	0.288	-110.76	-184.50	0.00	0.00
13000	0.010	46.082	0.563	28	0	0.000	0.409	0.636	-115.49	-121.26	0.00	-6.51
14000	0.023	96.738	1.402	51	0	0.000	0.316	0.306	-101.85	-214.18	-0.00	-0.69
15000	0.005	21.953	1.514	41	0	0.000	0.251	-0.423	-95.48	-172.12	0.00	4.90
16000	0.068	755.882	1.298	45	0	0.000	0.189	-0.255	-110.10	-188.76	0.00	3.63
17000	0.022	163.142	1.241	46	0	0.000	0.345	-0.388	-115.23	-192.88	0.00	-1.70
18000	0.071	59.191	3.196	49	0	0.000	0.185	1.604	-111.62	-205.63	-0.00	-0.69
19000	0.010	340.790	2.451	52	0	0.000	0.156	0.077	-107.41	-218.56	0.00	0.00
20000	0.010	65.111	1.779	38	0	0.000	0.015	-0.237	-101.77	-159.97	0.02	0.00
21000	0.066	14.993	0.247	46	0	0.000	0.408	-0.605	-102.77	-192.86	-0.00	0.00
22000	0.052	73.974	1.694	44	0	0.000	0.411	0.243	-117.73	-184.53	0.00	4.77
23000	0.020	50.896	1.082	48	0	0.000	0.447	0.612	-114.32	-201.32	-0.00	0.00
24000	0.001	69.749	0.772	33	0	0.000	0.489	0.445	-100.66	-140.21	-0.00	0.00
25000	0.017	228.657	4.037	40	0	0.000	0.211	-1.747	-111.50	-168.09	0.00	3.97
26000	0.146	428.717	2.537	44	0	0.000	0.248	0.060	-111.29	-184.54	0.00	-1.84
27000	0.007	214.994	2.330	57	0	0.000	0.007	0.069	-87.54	-240.38	0.00	-0.11
28000	0.011	441.479	1.730	50	0	0.000	0.177	1.087	-110.86	-209.92	0.00	0.69
29000	0.123	28.711	1.780	30	0	0.000	0.194	-1.659	-98.44	-128.71	0.00	-3.32
30000	0.038	705.723	0.994	35	0	0.000	0.326	0.020	-105.69	-148.07	0.00	3.75
31000	0.009	100.079	0.469	40	0	0.000	0.361	0.001	-91.54	-168.03	0.00	0.00
32000	0.020	59.909	1.551	48	0	0.000	0.428	-0.220	-109.86	-201.33	-0.08	0.00
33000	0.000	27.773	1.585	49	0	0.000	0.297	-0.648	-103.97	-205.59	0.00	-8.47
34000	0.049	25.365	0.583	45	0	0.000	0.258	-0.490	-93.18	-188.67	0.00	0.00
35000	0.017	14.005	0.694	45	0	0.000	0.426	-0.463	-102.15	-188.66	-0.00	1.33
36000	0.009	126.915	1.587	42	0	0.000	0.062	-0.511	-100.04	-176.23	0.00	4.38
37000	0.089	41.081	1.625	35	0	0.000	0.368	-0.544	-106.93	-148.03	0.00	4.33
38000	0.037	32.329	1.348	37	0	0.000	0.384	0.424	-103.17	-155.94	-0.00	-0.69
39000	0.009	43.437	1.930	43	0	0.000	0.205	-0.812	-105.56	-180.36	-0.00	0.00
