state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.042	48.335	1.046	41	0	0.000	0.437	0.794	-107.95	-172.11	-0.00	0.00
2000	0.008	28.535	1.299	29	0	0.000	0.459	0.893	-104.90	-124.92	-0.00	1.52
3000	0.006	16.135	1.041	36	0	0.000	0.415	0.926	-96.44	-151.95	0.00	-0.81
4000	0.053	82.832	1.052	42	0	0.000	0.444	-1.207	-111.88	-176.22	-0.00	0.58
5000	0.144	53.095	0.778	45	0	0.000	0.303	0.971	-116.60	-188.68	-0.00	0.00
6000	0.021	57.855	1.210	40	0	0.000	0.370	1.197	-106.05	-168.03	-0.00	0.00
7000	0.095	233.861	2.413	42	0	0.000	0.190	-0.399	-106.20	-176.26	-0.02	0.00
8000	0.004	128.295	1.144	41	0	0.000	0.382	-0.382	-106.64	-172.14	0.00	-1.83
9000	0.079	11.800	0.723	37	0	0.000	0.490	0.535	-105.73	-155.93	0.00	-4.94
10000	0.005	20.791	1.248	43	0	0.000	0.436	-0.047	-111.65	-180.34	0.00	-0.69
11000	0.043	20.444	1.810	36	0	0.000	0.241	-0.139	-105.39	-151.97	0.00	-0.69
12000	0.030	35.587	0.432	43	0	0.000	0.348	0.044	-107.29	-180.34	-0.05	0.00
13000	0.007	18.912	1.112	34	0	0.000	0.469	0.869	-108.01	-144.09	0.00	0.00
14000	0.064	71.689	1.618	50	0	0.000	0.377	0.235	-108.29	-209.85	0.00	0.69
15000	0.023	38.960	0.775	45	0	0.000	0.663	0.117	-110.25	-188.67	0.00	0.00
16000	0.001	16.995	0.924	37	0	0.000	0.342	0.657	-96.16	-155.93	-0.00	0.00
17000	0.061	23.809	1.504	38	0	0.000	0.243	0.213	-104.06	-159.94	-0.00	-0.69
18000	0.023	85.245	1.179	52	0	0.000	0.397	0.726	-106.91	-218.48	0.00	1.24
19000	0.023	18.966	1.540	45	0	0.000	0.327	0.826	-108.53	-188.67	0.00	0.69
20000	0.015	68.060	1.699	39	0	0.000	0.257	1.094	-106.88	-163.99	0.00	4.62
21000	0.004	17.818	0.550	38	0	0.000	0.485	0.869	-108.35	-159.93	0.00	-1.48
22000	0.002	35.463	1.545	35	0	0.000	0.376	-0.096	-102.06	-148.01	0.00	-0.42
23000	0.029	25.350	2.169	40	0	0.000	0.398	0.536	-102.14	-168.04	0.03	0.00
24000	0.017	72.965	1.390	48	0	0.000	0.338	0.576	-106.05	-201.33	0.00	0.00
25000	0.005	53.153	0.815	46	0	0.000	0.437	0.405	-107.65	-192.87	-0.00	-0.69
26000	0.001	29.182	1.412	49	0	0.000	0.301	-0.149	-102.28	-205.58	0.00	0.00
27000	0.113	26.504	1.575	45	0	0.000	0.347	1.077	-103.67	-188.67	0.00	0.00
28000	0.000	27.376	1.807	45	0	0.000	0.080	1.013	-100.62	-188.68	-0.00	0.70
29000	0.011	19.018	1.373	37	0	0.000	0.458	0.866	-105.91	-155.94	0.00	-2.74
30000	0.005	54.943	0.774	40	0	0.000	0.450	0.644	-104.21	-168.03	0.00	-4.44
31000	0.043	44.887	1.319	43	0	0.000	0.458	0.330	-104.57	-180.35	-0.00	-0.69
32000	0.231	85.458	1.452	43	0	0.000	0.219	0.348	-111.25	-180.38	0.00	-0.81
33000	0.120	136.433	1.501	43	0	0.000	0.332	1.098	-102.23	-180.35	-0.00	0.00
34000	0.051	30.436	0.640	40	0	0.000	0.444	-0.162	-104.51	-168.02	0.00	-2.36
35000	0.044	28.824	0.985	37	0	0.000	0.404	0.320	-100.05	-155.94	0.00	-1.54
36000	0.011	55.668	0.594	45	0	0.000	0.426	0.892	-108.70	-188.68	-0.00	1.24
37000	0.008	41.615	0.581	38	0	0.000	0.509	0.790	-100.07	-159.93	0.00	0.69
38000	0.035	66.910	1.264	52	0	0.000	0.386	0.623	-104.22	-218.48	0.00	-2.88
39000	0.016	51.375	1.330	46	0	0.000	0.361	-0.484	-106.00	-192.86	-0.00	0.57
40000	0.002	101.744	2.341	44	0	0.000	0.361	0.668	-114.32	-184.51	0.00	3.87
41000	0.014	48.639	1.157	38	0	0.000	0.419	1.458	-107.41	-159.94	-0.00	0.00
42000	0.017	349.314	3.816	39	0	0.000	0.328	2.213	-116.57	-164.05	-0.00	0.00
43000	0.089	181.570	1.037	42	0	0.000	0.357	0.756	-105.39	-176.24	0.00	0.00
44000	0.001	211.150	0.352	45	0	0.000	0.474	0.302	-111.99	-188.68	0.00	-8.69
45000	0.010	267.181	0.933	49	0	0.000	0.463	1.004	-114.38	-205.60	0.06	0.00
46000	0.019	29.814	0.874	41	0	0.000	0.520	1.483	-105.61	-172.11	0.00	0.00
47000	0.004	45.169	0.764	43	0	0.000	0.345	0.917	-104.71	-180.34	0.00	0.00
48000	0.001	85.981	2.360	40	0	0.000	0.268	0.579	-103.46	-168.07	0.00	4.73
49000	0.000	102.914	1.080	47	0	0.000	0.301	-0.911	-105.30	-197.09	0.00	0.00
50000	0.007	51.654	1.340	40	0	0.000	0.312	0.697	-106.93	-168.04	0.00	-0.69
51000	0.013	40.540	0.704	51	0	0.000	0.259	1.361	-104.89	-214.15	0.00	0.00
52000	0.002	36.375	0.550	49	0	0.000	0.440	1.007	-101.20	-205.56	0.00	-3.01
53000	0.001	21.168	1.889	37	0	0.000	0.357	1.258	-107.15	-155.95	0.00	0.00
