state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.011	11.757	0.652	40	0	0.000	0.432	0.774	-93.49	-168.02	0.00	0.00
2000	0.001	18.013	1.133	37	0	0.000	0.328	0.589	-87.58	-155.94	0.00	-5.38
3000	0.004	11.269	0.624	40	0	0.000	0.320	0.456	-87.94	-168.02	-0.00	0.69
4000	0.044	37.033	0.760	45	0	0.000	0.223	0.820	-100.61	-188.67	0.00	0.00
5000	0.019	202.560	0.965	43	0	0.000	0.404	1.325	-104.91	-180.38	-0.00	1.27
6000	0.028	40.408	0.523	37	0	0.000	0.379	1.614	-89.44	-155.94	0.00	-4.19
7000	0.010	35.412	0.544	36	0	0.000	0.277	0.893	-91.99	-151.96	0.00	4.89
8000	0.004	40.571	0.249	40	0	0.000	0.515	0.276	-94.56	-168.02	0.00	-1.64
9000	0.016	66.837	0.719	46	0	0.000	0.485	1.189	-96.72	-192.86	0.00	0.00
10000	0.029	161.690	0.245	33	0	0.000	0.334	0.593	-94.42	-140.20	0.00	-6.55
11000	0.025	51.747	1.063	36	0	0.000	0.343	0.745	-90.44	-151.97	-0.00	-0.69
12000	0.003	144.571	0.894	34	0	0.000	0.242	0.941	-99.67	-144.13	0.00	0.00
13000	0.031	41.636	0.921	35	0	0.000	0.271	0.924	-91.23	-148.01	0.00	-0.55
14000	0.000	11.300	0.408	35	0	0.000	0.410	1.455	-94.22	-148.00	0.01	0.00
15000	0.000	33.702	0.201	35	0	0.000	0.420	0.514	-97.42	-148.01	0.00	-1.94
16000	0.011	9.461	1.327	31	0	0.000	0.363	0.522	-91.47	-132.49	0.00	0.69
17000	0.001	10.678	0.329	41	0	0.000	0.375	0.905	-89.45	-172.09	-0.00	0.00
18000	0.002	5.896	0.490	44	0	0.000	0.398	0.892	-93.75	-184.47	0.00	0.00
19000	0.054	36.055	0.300	38	0	0.000	0.442	0.747	-92.96	-159.93	0.00	4.62
20000	0.011	25.171	0.512	35	0	0.000	0.501	0.972	-92.08	-148.00	-0.00	0.44
21000	0.014	12.371	0.390	41	0	0.000	0.416	0.410	-89.92	-172.09	-0.00	0.00
22000	0.005	9.524	0.202	45	0	0.000	0.374	1.592	-87.39	-188.65	-0.00	0.00
23000	0.009	65.283	0.658	44	0	0.000	0.380	0.335	-89.39	-184.48	0.00	-1.34
24000	0.000	22.931	0.541	44	0	0.000	0.427	1.501	-90.95	-184.48	0.00	0.00
25000	0.000	26.990	0.814	33	0	0.000	0.573	-0.537	-101.92	-140.19	0.01	0.00
26000	0.047	86.110	0.657	32	0	0.000	0.293	0.236	-97.70	-136.35	0.00	0.69
27000	0.005	4.071	0.429	34	0	0.000	0.477	0.175	-92.27	-144.07	-0.01	0.00
28000	0.006	22.120	0.536	36	0	0.000	0.474	0.449	-87.74	-151.95	0.00	0.00
29000	0.006	5.537	0.371	30	0	0.000	0.405	0.675	-83.14	-128.68	0.00	-2.78
30000	0.009	11.998	0.834	36	0	0.000	0.326	0.434	-85.09	-151.95	0.00	-7.57
31000	0.001	3.165	0.276	34	0	0.000	0.445	0.793	-87.96	-144.07	0.00	-0.69
32000	0.000	27.835	0.471	32	0	0.000	0.428	0.892	-92.87	-136.32	-0.00	0.00
33000	0.008	11.283	0.641	35	0	0.000	0.328	1.519	-87.23	-148.00	0.00	0.00
34000	0.003	7.207	0.339	40	0	0.000	0.364	-0.103	-88.39	-168.01	0.00	0.00
35000	0.000	65.390	0.470	33	0	0.000	0.490	0.903	-91.33	-140.19	-0.00	0.00
36000	0.009	22.206	0.721	42	0	0.000	0.384	0.692	-84.03	-176.21	0.00	-4.29
37000	0.008	9.107	0.306	38	0	0.000	0.453	0.520	-90.76	-159.93	0.00	0.00
38000	0.000	4.875	0.340	43	0	0.000	0.331	1.028	-90.86	-180.32	0.00	0.00
39000	0.005	30.692	0.292	40	0	0.000	0.337	0.628	-89.26	-168.03	-0.00	0.69
40000	0.002	9.661	1.003	35	0	0.000	0.420	1.147	-89.61	-148.00	-0.01	1.48
41000	0.005	23.018	0.583	35	0	0.000	0.348	0.295	-89.75	-148.01	0.00	-1.74
42000	0.009	21.745	0.548	46	0	0.000	0.393	0.456	-92.65	-192.86	0.02	0.00
43000	0.010	35.310	1.385	43	0	0.000	0.259	-0.129	-91.41	-180.36	-0.01	-0.69
44000	0.072	14.024	0.887	42	0	0.000	0.421	0.747	-94.49	-176.20	-0.00	0.00
45000	0.040	25.965	1.443	38	0	0.000	0.216	1.838	-99.13	-159.95	-0.00	0.00
46000	0.064	19.077	0.458	45	0	0.000	0.307	0.636	-89.55	-188.66	0.00	0.01
47000	0.065	45.094	1.872	42	0	0.000	0.108	-0.835	-87.69	-176.23	-0.00	0.00
48000	0.023	100.007	1.109	41	0	0.000	0.158	0.459	-80.25	-172.13	0.00	-1.83
49000	0.131	74.734	1.035	35	0	0.000	0.208	1.332	-94.40	-148.05	-0.00	0.00
50000	0.007	69.842	1.252	40	0	0.000	0.351	0.770	-108.24	-168.03	0.00	-0.49
51000	0.015	10.587	0.501	38	0	0.000	0.432	1.479	-86.90	-159.93	0.00	3.72
