Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,median_Beak_Length,median_Wing_length,median_BeakLength_WingLength,median_Beak_Mass,BodySize,BodyMass,median_n.pulses,median_drum_duration,median_pulseRateMedian,median_pulseRateDeviation,median_interval_min,median_interval_max,median_interv1_intervMax,median_intervL_intervMax,median_interval_slope_lm2_ordre_coefa,median_interval_nPVI,median_MeanAcc,median_drum_peak_F,median_Amp_pulses_min,median_Amp_pulses_first,median_Amp_pulses_last,median_Amp_pulses_Q25,median_Amp_pulses_Q75,median_Amp_pulses_IQR,median_nPAVI,median_Amp_slope_lm2_ordre_coefa,median_n_seq,median_interval_seq_median,median_PC1,median_PC2,median_PC3,median_PC4,median_PC5,median_PC6,median_LD1,median_LD2,median_LD3,median_LD4,median_LD5,median_LD6,median_LI
Leuconotopicos_arizonae,Leuco_ari,Leuconotopicos,New_World,Nearctic,543508.65,DA1,3,8,1,8,0,3,28.23,114,0.25122807,1.640035327,19,42.5,-0.310091226,-0.574332908,1.389508057,0.021565205,-0.857994696,-0.660684962,0.454257703,0.681278492,-0.146442123,-0.374734605,-0.316800572,0.493390112,0.239642368,-0.516028456,0.906900488,-0.193921193,0.157373779,0.10013744,-0.427294597,0.191698179,-0.252345907,-1.14E-16,-0.587096916,-0.999738817,0.177789547,1.195326538,-0.101669989,1.073701434,-4.59728608,-2.199244105,0.803560446,1.509535637,-0.456994012,0.398266595,1.637383076
Leuconotopicos_borealis,Leuco_bor,Leuconotopicos,New_World,Nearctic,1108759.34,DA2,3,6,1,6,0,3,22.11,118,0.187372881,1.093392021,21,47.5,-0.663520793,-0.662310444,0.757633694,-0.035628743,-0.422356634,-0.464774803,0.561890408,0.769198459,0.173147269,-0.302580134,-0.318596668,0.823855215,0.348689122,-0.128906085,0.214033505,-0.047653339,-0.523786036,-0.310346913,-0.200931372,0.119713516,-0.252345907,-1.14E-16,-0.52285296,-0.665001952,0.269685748,0.656282288,0.076210251,1.059272495,-2.665844971,-1.258997446,-0.015727161,1.763238854,-0.886974578,0.524866902,1.641777667
Leuconotopicos_fumigatus,Leuco_fum,Leuconotopicos,New_World,Neotropic,1693088.37,DA3,3,22,1,17,2,11,23.85,100,0.243367347,1.288374658,17,40.5,0.308410515,-0.409976409,1.95157999,-0.007077134,-1.082870438,-0.679725337,0.489876397,0.857242114,-0.187897572,-0.401222523,-0.338744208,0.339201189,0.231312556,-0.235837082,0.636410596,0.512497175,0.142953505,-0.503102717,0.045485597,0.248426292,-0.252345907,-1.14E-16,-0.882190017,-1.251712119,0.738735615,1.981154179,-0.099424741,0.587127554,-4.873363663,-3.352315122,1.848907313,1.912034436,-0.430191818,-0.470380438,1.796397084
Leuconotopicos_villosus,Leuco_vil,Leuconotopicos,New_World,Nearctic,13458199.43,DA6,3,25,4,19,3,9,30.26,119,0.254285714,1.914457503,21.25,61,0.308410515,-0.143466217,1.163893821,0.084183662,-0.931522981,-0.634323961,0.140068488,0.87514705,-0.200998988,-0.365330104,-0.427850111,0.33583656,-0.430912099,-1.285416963,1.008444473,0.759631412,0.512593181,-0.742233734,-0.267330561,0.21712928,-0.252345907,-1.14E-16,-0.659001707,-1.162249038,1.142607816,0.787411545,0.16485895,1.008403666,-4.65014925,-1.705623374,2.274942049,2.159326371,0.085117014,-0.099899052,1.451894885
Meiglyptes_tristis,Mei_tri,Meiglyptes,Old_world,Indomalaya,1368870.93,DA2,3,9,1,8,4,2,19.15,93,0.209784946,1.066979904,17,40.5,1.015269648,1.038574264,-0.728721402,0.442959457,-0.192770726,-0.052508793,-1.183885767,0.87514705,-0.18588082,-0.292762592,-0.42871954,-0.633105106,-0.528120375,-1.36302041,0.715005816,-0.234173869,-0.164116972,0.566858798,0.470865848,0.254033065,-0.252345907,-1.14E-16,0.570307547,-0.493338009,1.202513823,-0.630835928,0.586381846,-0.044272783,0.695002904,1.02705329,3.991064961,-0.103670856,1.32118361,0.156336471,1.957265703
Meiglyptes_tukki,Mei_tuk,Meiglyptes,Old_world,Indomalaya,1207601.9,DA2,3,8,1,7,4,2,24.05,99,0.242929293,1.647456177,21.5,53.5,0.926912256,0.318115624,0.291940325,0.256144654,-0.626098644,-0.409263844,-0.528945694,0.87514705,-0.206616014,-0.3400138,-0.439589994,-0.781049928,-0.421512944,-0.46915783,0.415213587,0.096314042,0.033245977,-0.070043189,0.286182954,0.265530574,-0.252345907,-1.14E-16,0.061709547,-0.8389837,1.287066524,0.344640732,0.482376776,-0.463680598,-2.362619418,-0.997812709,3.081061102,0.022627011,0.803652493,-0.279040042,1.391217022
Melanerpes_aurifrons,Mel_aur,Melanerpes,New_World,Nearctic,1383892.55,DA2,4,16,3,10,3,2,31.01,122,0.231818182,2.498184243,24,86,-0.221733835,-0.125658965,-0.483954589,-0.418414716,0.556882481,-0.164730384,0.477612278,0.807932835,0.104946707,-0.223143857,-0.311115801,-0.586772583,0.047899387,-0.440379869,0.739028527,-0.100060641,0.198454597,-0.030335559,-0.076070711,0.225109148,-0.252345907,-1.14E-16,-0.684135805,0.21388981,0.486200955,-0.656129681,-0.065119943,-0.054809312,-2.499111202,1.566505537,0.120785734,0.606664928,-0.054123895,-0.173326444,1.043669222
Melanerpes_cactorum,Mel_cac,Melanerpes,New_World,Neotropic,2221258.17,DA3,4,15,0,15,3,0,22.66,112,0.209814815,1.058809982,17,41,-0.48680601,0.185648674,-0.696074506,-1.64304123,0.416843441,0.876724732,-1.679654895,0.87514705,1.904255106,0.095962382,-0.392814818,0.595625512,-0.153870435,-0.785594124,1.486535696,-0.248832608,-0.458564139,-0.680610423,-0.458780865,0.46788458,-0.252345907,-1.14E-16,-0.153330052,1.105316631,1.53155064,-0.605529179,-2.164598285,1.543172119,1.879990069,2.831740415,1.608761839,1.391549151,-2.999038436,-0.025266428,3.458945922
Melanerpes_carolinus,Mel_car,Melanerpes,New_World,Nearctic,3217548.03,DA4,4,9,2,9,3,2,31.65,132,0.239772727,2.181723227,24,73.5,-0.177555139,-0.195064193,-0.109828037,-0.172591095,0.180628211,-0.263932368,0.561890408,0.051136245,-0.056635429,-0.339941349,-0.239016911,-0.407819921,0.669510292,-0.286450656,0.440480612,0.74779883,0.337928105,-0.797745044,-0.441021133,0.165205555,-0.252345907,-1.14E-16,-1.118697987,0.654022108,0.551364935,0.308303541,-0.07513521,-0.027794431,-2.862541748,0.893664019,-0.355906839,0.866398703,0.008939964,-1.018859704,1.194415675
Melanerpes_erythrocephalus,Mel_ery,Melanerpes,New_World,Nearctic,5179611.02,DA4,3,10,2,10,3,4,29.79,138,0.214855072,1.889481063,22,76.5,-0.442627314,-0.5045693,0.375563251,-0.046092853,-0.293656305,-0.480754152,0.561890408,0.330478669,-0.054162294,-0.306538111,-0.228246522,1.134843206,-0.457164083,1.257846277,-0.812217372,-0.514348265,-1.100705537,-0.497073421,-0.227268834,0.280554765,-0.252345907,-1.14E-16,-0.554392883,-1.105246589,-0.217054075,0.535645557,-0.289763137,0.544482181,-3.506205183,-1.442647282,0.455102904,0.47218148,-0.556426761,0.660909469,1.062065852
