state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
610000	0.059	77.412	2.177	43	0	0.000	0.216	0.928	-104.48	-180.37	0.00	-1.66
611000	0.005	117.290	0.512	41	0	0.000	0.317	0.898	-96.96	-172.12	0.00	-2.66
612000	0.029	39.719	0.430	34	0	0.000	0.119	0.382	-89.37	-144.09	0.00	-0.89
613000	0.141	64.931	1.246	39	0	0.000	0.107	0.937	-88.43	-163.99	0.00	0.00
614000	0.023	64.039	0.713	43	0	0.000	0.412	1.061	-98.53	-180.34	0.00	-0.77
615000	0.005	36.300	0.730	38	0	0.000	0.356	0.674	-92.55	-159.94	0.00	-1.09
616000	0.038	46.614	1.310	32	0	0.000	0.212	1.459	-85.50	-136.34	0.00	-0.26
617000	0.070	34.731	0.541	44	0	0.000	0.279	0.669	-84.64	-184.49	0.00	0.81
618000	0.018	12.635	0.997	39	0	0.000	0.289	0.348	-86.80	-163.98	-0.04	0.00
619000	0.137	63.358	1.038	41	0	0.000	0.304	0.360	-91.26	-172.11	0.00	0.00
620000	0.001	10.345	0.364	37	0	0.000	0.324	0.450	-88.76	-155.93	0.01	0.00
621000	0.056	235.153	0.511	31	0	0.000	0.213	0.760	-80.93	-132.53	-0.04	0.00
622000	0.016	8.705	0.521	43	0	0.000	0.348	0.820	-84.84	-180.33	-0.02	0.00
623000	0.029	35.484	1.325	44	0	0.000	0.348	0.674	-95.91	-184.50	0.00	4.69
624000	0.030	94.959	0.413	41	0	0.000	0.361	1.445	-98.95	-172.11	0.00	-1.13
625000	0.025	26.004	0.956	33	0	0.000	0.422	-0.048	-100.76	-140.19	-0.00	1.03
626000	0.095	14.721	0.698	35	0	0.000	0.313	0.890	-98.99	-148.00	0.00	2.02
627000	0.040	50.264	0.949	40	0	0.000	0.405	0.493	-101.17	-168.03	-0.03	0.00
628000	0.033	253.887	0.990	42	0	0.000	0.264	0.539	-92.50	-176.36	0.00	0.00
629000	0.003	47.873	0.296	44	0	0.000	0.384	0.496	-85.16	-184.49	-0.00	0.00
630000	0.025	55.969	0.421	37	0	0.000	0.304	0.831	-90.05	-155.95	-0.00	1.23
631000	0.012	93.139	1.069	33	0	0.000	0.266	1.716	-92.37	-140.21	-0.01	0.75
632000	0.038	10.298	1.760	32	0	0.000	0.351	0.325	-97.29	-136.33	-0.00	1.19
633000	0.105	116.006	1.194	36	0	0.000	0.214	0.098	-95.53	-151.98	0.00	0.00
634000	0.003	10.162	0.774	43	0	0.000	0.440	0.771	-95.08	-180.34	-0.00	0.00
635000	0.016	85.287	1.115	35	0	0.000	0.342	1.728	-96.22	-148.03	0.01	0.00
636000	0.075	25.930	0.956	40	0	0.000	0.277	0.425	-81.23	-168.03	-0.00	0.00
637000	0.025	28.907	0.954	42	0	0.000	0.367	0.992	-97.50	-176.22	-0.00	0.00
638000	0.009	66.518	0.712	35	0	0.000	0.441	0.764	-105.02	-148.01	-0.00	0.00
639000	0.041	10.928	0.887	41	0	0.000	0.257	1.157	-85.07	-172.10	0.00	0.88
640000	0.118	51.335	0.512	37	0	0.000	0.312	1.008	-92.45	-155.94	0.00	0.00
641000	0.004	276.108	2.317	41	0	0.000	0.162	1.900	-89.34	-172.15	0.00	0.00
642000	0.014	63.424	1.086	45	0	0.000	0.303	1.961	-90.31	-188.67	0.00	0.00
643000	0.015	24.359	1.142	39	0	0.000	0.277	1.937	-89.65	-163.98	0.00	-1.60
644000	0.054	33.471	1.046	42	0	0.000	0.311	1.538	-93.00	-176.22	0.03	0.00
645000	0.005	29.210	0.924	35	0	0.000	0.327	1.162	-86.70	-148.01	0.00	3.99
646000	0.131	45.595	1.560	30	0	0.000	0.177	1.692	-96.55	-128.70	0.00	0.00
647000	0.030	31.854	0.499	38	0	0.000	0.279	0.585	-88.00	-159.94	0.00	-0.69
648000	0.009	61.673	0.488	35	0	0.000	0.362	0.493	-81.82	-148.01	-0.00	0.00
649000	0.056	63.515	0.816	39	0	0.000	0.247	0.643	-85.59	-163.98	0.00	0.02
650000	0.051	60.593	1.569	45	0	0.000	0.255	1.275	-98.05	-188.67	0.00	-0.22
651000	0.014	61.921	0.665	37	0	0.000	0.292	1.720	-85.84	-155.93	0.00	0.69
652000	0.002	20.824	0.332	37	0	0.000	0.390	0.604	-85.10	-155.94	0.00	0.99
653000	0.022	141.551	1.171	47	0	0.000	0.240	2.669	-98.71	-197.09	0.00	-3.09
654000	0.005	16.576	1.874	43	0	0.000	0.310	1.694	-93.28	-180.34	0.00	-0.69
655000	0.044	68.061	0.718	41	0	0.000	0.568	0.409	-99.82	-172.10	-0.00	0.00
656000	0.152	197.407	1.505	39	0	0.000	0.159	0.978	-97.25	-164.02	0.00	0.00
657000	0.122	165.919	1.784	42	0	0.000	0.187	0.431	-92.71	-176.23	0.00	-0.69
658000	0.036	16.968	1.015	38	0	0.000	0.328	0.339	-94.24	-159.94	0.00	0.00
659000	0.012	20.142	0.603	47	0	0.000	0.339	1.339	-93.85	-197.08	-0.03	0.00
660000	0.008	55.565	1.020	41	0	0.000	0.331	1.362	-100.68	-172.11	0.01	0.00
661000	0.001	193.341	0.492	38	0	0.000	0.392	1.120	-88.81	-159.96	0.00	1.59
662000	0.115	388.068	2.844	42	0	0.000	0.127	1.227	-101.14	-176.27	-0.09	0.00
663000	0.057	81.376	0.928	47	0	0.000	0.175	-0.050	-89.21	-197.13	-0.00	0.00
664000	0.007	37.216	1.059	37	0	0.000	0.270	1.635	-92.69	-155.94	0.00	-2.17
665000	0.001	16.822	0.445	41	0	0.000	0.423	0.500	-95.50	-172.10	0.00	0.82
666000	0.111	104.930	0.880	46	0	0.000	0.286	0.834	-93.92	-192.92	-0.00	0.00
667000	0.103	20.626	0.817	40	0	0.000	0.444	0.684	-93.50	-168.02	-0.00	-0.69
668000	0.046	16.067	0.857	39	0	0.000	0.257	0.057	-85.14	-163.96	0.00	-0.69
669000	0.010	158.617	1.320	47	0	0.000	0.257	0.211	-105.30	-197.12	-0.00	0.00
670000	0.055	81.024	1.341	44	0	0.000	0.213	0.384	-93.98	-184.51	-0.00	0.00
671000	0.110	55.043	1.000	30	0	0.000	0.259	1.914	-95.78	-128.71	-0.01	-0.69
672000	0.002	25.710	1.557	38	0	0.000	0.175	-0.937	-98.39	-159.94	0.00	0.00
673000	0.002	100.605	0.643	30	0	0.000	0.275	0.848	-83.80	-128.70	0.00	-1.44
674000	0.072	96.699	0.949	35	0	0.000	0.427	1.234	-105.62	-148.02	-0.00	0.01
675000	0.025	48.327	0.668	32	0	0.000	0.354	1.386	-95.20	-136.32	0.00	0.05
676000	0.020	36.416	0.577	40	0	0.000	0.372	0.490	-90.49	-168.02	0.00	-0.69
677000	0.052	142.944	0.266	52	0	0.000	0.349	1.403	-93.62	-218.48	-0.00	0.69
678000	0.032	22.526	1.447	31	0	0.000	0.254	0.398	-92.21	-132.50	-0.00	0.00
679000	0.053	140.576	1.543	47	0	0.000	0.220	1.725	-105.65	-197.11	0.00	0.00
680000	0.044	41.238	0.832	44	0	0.000	0.302	1.014	-87.38	-184.50	0.00	4.77
681000	0.052	85.844	0.988	47	0	0.000	0.162	1.116	-93.38	-197.09	0.00	-1.55
682000	0.019	250.426	0.817	38	0	0.000	0.346	0.065	-100.74	-159.98	0.00	0.69
683000	0.019	22.195	0.827	41	0	0.000	0.452	-0.036	-96.80	-172.10	0.00	0.69
684000	0.062	25.578	0.963	44	0	0.000	0.378	0.031	-94.84	-184.49	0.00	1.36
685000	0.015	30.602	0.638	40	0	0.000	0.355	-0.062	-92.03	-168.04	0.00	-3.13
686000	0.002	266.323	0.625	41	0	0.000	0.249	0.715	-93.40	-172.12	-0.00	0.00
687000	0.021	273.984	1.418	44	0	0.000	0.249	-0.148	-101.41	-184.56	0.00	0.00
688000	0.013	30.900	0.365	47	0	0.000	0.419	0.744	-92.01	-197.07	0.00	0.00
689000	0.062	36.035	0.914	36	0	0.000	0.261	0.019	-92.94	-151.97	0.00	-0.69
690000	0.058	76.648	0.887	37	0	0.000	0.313	0.736	-95.78	-155.94	-0.00	0.00
691000	0.094	667.656	1.521	47	0	0.000	0.304	0.343	-107.61	-197.13	-0.00	-0.69
692000	0.017	30.171	1.226	32	0	0.000	0.289	0.464	-94.92	-136.33	0.00	-0.44
693000	0.016	69.151	0.564	39	0	0.000	0.328	2.358	-84.00	-163.97	-0.00	0.00
694000	0.024	25.743	0.653	35	0	0.000	0.274	0.751	-86.32	-148.01	0.00	-1.91
695000	0.016	110.702	0.721	39	0	0.000	0.246	0.802	-93.33	-163.99	0.00	0.00
696000	0.017	45.500	0.452	38	0	0.000	0.326	0.886	-95.72	-159.95	-0.00	0.00
697000	0.044	90.455	1.463	44	0	0.000	0.241	0.710	-91.03	-184.51	0.00	4.44
698000	0.004	15.693	0.889	43	0	0.000	0.273	1.096	-84.26	-180.33	0.01	0.00
699000	0.128	154.714	1.073	37	0	0.000	0.329	0.197	-100.46	-155.98	0.00	0.00
700000	0.013	114.922	0.632	40	0	0.000	0.265	0.801	-87.31	-168.03	-0.00	0.00
701000	0.070	37.929	0.964	38	0	0.000	0.400	0.089	-90.20	-159.94	0.00	-1.43
702000	0.004	93.505	0.621	44	0	0.000	0.278	0.434	-88.95	-184.49	0.00	-0.69
703000	0.019	37.629	0.392	41	0	0.000	0.264	0.194	-87.39	-172.10	0.00	2.88
704000	0.007	29.926	0.590	40	0	0.000	0.415	0.641	-85.69	-168.03	0.00	-0.54
705000	0.018	58.793	1.392	46	0	0.000	0.193	0.144	-90.13	-192.87	0.00	0.00
706000	0.072	1071.099	0.559	39	0	0.000	0.257	0.287	-87.18	-164.02	-0.00	0.69
707000	0.014	88.527	0.322	37	0	0.000	0.238	1.389	-88.13	-155.96	0.00	-1.40
708000	0.017	651.515	1.175	48	0	0.000	0.192	-0.131	-88.47	-201.38	0.00	-0.69
709000	0.021	18.948	0.377	35	0	0.000	0.323	0.858	-84.17	-148.00	0.00	0.00
710000	0.005	42.803	0.424	39	0	0.000	0.324	1.664	-84.31	-163.97	0.00	0.54
711000	0.055	14.055	0.737	36	0	0.000	0.221	1.023	-98.10	-151.95	0.00	-0.47
712000	0.027	14.450	0.690	38	0	0.000	0.241	0.922	-78.84	-159.94	0.00	-5.15
713000	0.010	143.379	0.559	33	0	0.000	0.286	1.017	-93.15	-140.21	0.00	0.00
714000	0.026	140.417	0.630	41	0	0.000	0.419	0.119	-95.92	-172.12	0.00	0.69
715000	0.005	35.354	1.557	37	0	0.000	0.399	1.127	-99.08	-155.94	0.00	-0.42
716000	0.092	140.734	1.015	36	0	0.000	0.316	0.720	-96.09	-151.97	-0.00	0.00
717000	0.012	129.230	0.755	33	0	0.000	0.313	0.745	-92.90	-140.23	0.00	-1.96
718000	0.080	67.745	0.956	35	0	0.000	0.277	0.571	-91.32	-148.01	0.00	4.17
719000	0.045	300.473	1.355	39	0	0.000	0.264	0.617	-99.64	-164.00	0.00	0.00
720000	0.004	61.044	0.741	45	0	0.000	0.294	1.560	-92.08	-188.66	0.00	-0.69
721000	0.017	31.649	0.555	35	0	0.000	0.213	-0.265	-101.37	-148.01	0.00	-0.99
722000	0.169	122.363	0.705	38	0	0.000	0.300	1.252	-96.78	-159.97	0.00	-2.99
723000	0.104	32.882	1.200	43	0	0.000	0.274	2.211	-88.41	-180.34	0.00	0.00
724000	0.147	77.513	1.586	45	0	0.000	0.136	1.108	-91.81	-188.69	0.00	0.00
725000	0.016	20.070	0.393	42	0	0.000	0.408	0.524	-96.51	-176.21	0.00	-1.22
726000	0.001	28.769	0.856	38	0	0.000	0.198	0.624	-89.97	-159.94	-0.00	1.95
727000	0.002	31.902	0.653	36	0	0.000	0.299	1.024	-87.66	-151.96	0.00	-0.69
728000	0.000	29.887	0.292	33	0	0.000	0.309	0.852	-87.09	-140.20	0.00	0.00
729000	0.006	92.022	1.012	42	0	0.000	0.324	0.580	-95.07	-176.22	-0.00	0.00
730000	0.012	28.042	0.640	37	0	0.000	0.268	1.625	-86.29	-155.93	0.00	-0.48
731000	0.019	5.431	1.037	32	0	0.000	0.384	1.310	-90.15	-136.32	0.01	0.00
732000	0.006	29.073	0.956	45	0	0.000	0.285	1.645	-91.21	-188.66	0.00	4.60
733000	0.010	30.196	0.782	39	0	0.000	0.387	0.717	-86.99	-163.97	0.00	-0.14
734000	0.003	335.646	0.444	44	0	0.000	0.284	0.436	-89.57	-184.50	-0.00	0.00
735000	0.041	57.194	1.107	44	0	0.000	0.216	1.273	-91.46	-184.49	0.00	-3.83
736000	0.007	12.956	1.427	34	0	0.000	0.324	1.333	-95.82	-144.08	-0.00	-0.69
737000	0.016	17.415	0.874	37	0	0.000	0.254	1.023	-86.03	-155.94	0.00	-0.69
738000	0.025	42.463	1.211	35	0	0.000	0.278	1.179	-91.75	-148.01	0.00	-0.69
739000	0.003	183.164	1.328	40	0	0.000	0.365	1.439	-107.46	-168.05	0.04	0.00
740000	0.036	34.802	0.823	45	0	0.000	0.275	1.422	-99.57	-188.67	-0.00	-0.69
741000	0.025	35.018	0.653	41	0	0.000	0.282	0.347	-96.50	-172.11	0.00	4.83
742000	0.009	35.007	0.946	42	0	0.000	0.342	0.951	-92.99	-176.21	0.00	-3.63
743000	0.041	24.327	1.130	42	0	0.000	0.232	1.090	-92.32	-176.22	0.00	0.00
744000	0.010	54.004	0.692	43	0	0.000	0.280	1.009	-88.97	-180.35	0.00	0.00
745000	0.007	18.453	0.570	34	0	0.000	0.316	1.013	-96.07	-144.08	0.00	4.60
746000	0.068	110.543	1.082	38	0	0.000	0.330	1.715	-96.66	-159.98	-0.00	0.00
747000	0.014	69.659	0.759	36	0	0.000	0.311	0.906	-89.88	-151.96	0.00	-3.47
748000	0.005	18.832	0.805	39	0	0.000	0.260	1.417	-92.69	-163.97	0.00	-1.88
