state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.005	14.189	0.686	32	0	0.000	0.486	1.366	-94.82	-136.32	0.00	0.00
2000	0.003	102.863	0.542	38	0	0.000	0.300	0.770	-93.41	-159.94	-0.00	-0.69
3000	0.015	27.799	0.862	39	0	0.000	0.429	1.048	-95.50	-163.97	0.00	0.00
4000	0.002	8.510	1.455	36	0	0.000	0.577	0.044	-98.85	-151.95	-0.00	0.86
5000	0.145	94.940	1.369	37	0	0.000	0.391	0.095	-98.61	-155.96	0.00	0.69
6000	0.001	12.492	0.365	36	0	0.000	0.462	0.754	-94.20	-151.95	-0.00	0.00
7000	0.009	13.773	0.394	40	0	0.000	0.481	0.013	-93.31	-168.01	0.00	0.00
8000	0.008	15.716	0.606	36	0	0.000	0.408	0.889	-88.28	-151.95	0.00	-0.65
9000	0.004	72.622	1.120	44	0	0.000	0.467	0.161	-100.66	-184.50	0.00	-0.30
10000	0.008	11.268	0.547	47	0	0.000	0.514	1.271	-95.18	-197.06	0.02	0.00
11000	0.007	37.959	0.760	40	0	0.000	0.405	1.014	-92.15	-168.02	0.00	0.00
12000	0.080	10.699	0.644	33	0	0.000	0.410	0.860	-96.41	-140.19	-0.00	1.25
13000	0.000	66.737	1.196	31	0	0.000	0.315	0.457	-97.08	-132.50	-0.00	0.00
14000	0.005	26.465	0.618	39	0	0.000	0.523	0.890	-96.15	-163.96	0.01	0.00
15000	0.007	54.704	0.456	37	0	0.000	0.419	0.609	-97.73	-155.93	0.00	-0.88
16000	0.087	36.109	1.518	39	0	0.000	0.428	1.506	-107.13	-163.98	0.00	-1.30
17000	0.014	13.804	0.622	39	0	0.000	0.332	0.175	-103.99	-163.96	0.00	-1.65
18000	0.008	49.601	1.171	40	0	0.000	0.433	-0.075	-99.40	-168.03	0.02	0.00
19000	0.000	27.182	0.825	42	0	0.000	0.471	1.293	-100.01	-176.21	0.01	0.00
20000	0.005	9.325	0.509	42	0	0.000	0.431	0.221	-96.25	-176.20	0.00	-6.25
21000	0.207	110.369	1.569	37	0	0.000	0.186	0.772	-102.82	-155.95	0.00	-2.80
22000	0.026	41.673	1.148	43	0	0.000	0.389	0.003	-101.67	-180.34	0.00	3.79
23000	0.026	8.862	0.686	34	0	0.000	0.393	1.013	-93.68	-144.08	-0.01	0.00
24000	0.004	4.485	0.584	35	0	0.000	0.577	0.450	-96.26	-147.99	0.00	-1.68
25000	0.000	30.417	0.556	37	0	0.000	0.470	0.903	-93.05	-155.93	0.00	0.55
26000	0.001	12.862	0.506	37	0	0.000	0.497	0.840	-96.64	-155.92	-0.00	0.15
27000	0.012	31.357	0.544	38	0	0.000	0.377	1.435	-94.64	-159.94	-0.00	0.00
28000	0.000	8.061	0.786	45	0	0.000	0.497	0.859	-96.47	-188.65	0.00	0.00
29000	0.006	40.410	0.476	31	0	0.000	0.498	0.607	-95.41	-132.50	0.00	0.00
30000	0.002	9.934	0.504	44	0	0.000	0.377	0.191	-98.00	-184.48	0.00	-0.69
31000	0.011	70.502	1.023	46	0	0.000	0.330	-0.519	-95.28	-192.86	0.00	0.00
32000	0.003	14.772	0.767	43	0	0.000	0.364	0.464	-100.76	-180.33	0.00	4.67
