state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.018	16.483	0.726	42	0	0.000	0.532	-0.243	-113.83	-176.20	-0.00	0.00
2000	0.068	43.180	0.780	45	0	0.000	0.647	-0.562	-120.61	-188.68	-0.00	0.69
3000	0.027	12.852	1.153	42	0	0.000	0.566	-0.149	-116.02	-176.20	0.00	-4.75
4000	0.019	24.913	1.380	48	0	0.000	0.481	-0.470	-121.59	-201.31	0.00	-4.05
5000	0.044	43.490	1.554	46	0	0.000	0.403	-0.966	-116.85	-192.88	0.00	0.00
6000	0.012	19.387	0.769	45	0	0.000	0.512	0.599	-110.95	-188.65	0.00	0.00
7000	0.005	262.853	0.989	35	0	0.000	0.544	0.340	-111.45	-148.03	-0.00	0.00
8000	0.027	64.960	0.937	44	0	0.000	0.337	-0.275	-102.55	-184.50	0.00	-3.74
9000	0.011	26.712	0.901	38	0	0.000	0.397	0.560	-106.02	-159.94	0.00	-2.82
10000	0.001	74.351	0.912	37	0	0.000	0.355	-0.332	-111.54	-155.95	0.00	3.98
11000	0.022	158.714	1.940	42	0	0.000	0.444	-3.632	-142.37	-176.28	-0.00	0.00
12000	0.002	7.466	0.942	38	0	0.000	0.801	-0.516	-123.42	-159.93	-0.00	0.00
13000	0.001	22.899	0.486	36	0	0.000	0.624	0.252	-115.91	-151.95	-0.00	0.00
14000	0.014	338.450	0.672	41	0	0.000	0.534	-0.056	-113.02	-172.14	0.00	-1.89
15000	0.022	88.896	1.275	45	0	0.000	0.577	-0.793	-122.64	-188.69	0.00	-0.43
16000	0.008	21.144	0.931	43	0	0.000	0.548	0.109	-114.81	-180.34	-0.00	0.00
17000	0.025	23.763	0.866	33	0	0.000	0.550	0.375	-111.63	-140.19	0.00	-3.39
18000	0.079	18.817	0.549	43	0	0.000	0.534	0.473	-122.56	-180.33	0.00	0.00
19000	0.006	24.362	2.149	42	0	0.000	0.568	0.211	-122.68	-176.22	0.00	1.47
20000	0.008	14.814	0.834	36	0	0.000	0.692	-0.225	-119.64	-151.95	0.00	0.00
21000	0.005	21.364	0.814	38	0	0.000	0.458	-0.406	-116.58	-159.93	0.00	0.69
22000	0.026	13.424	0.798	43	0	0.000	0.593	0.244	-107.53	-180.33	0.00	-2.56
23000	0.011	15.646	0.679	44	0	0.000	0.553	-0.328	-110.83	-184.48	0.00	-0.69
24000	0.015	53.750	1.081	49	0	0.000	0.517	-0.014	-113.69	-205.58	-0.00	0.00
25000	0.006	24.597	0.469	52	0	0.000	0.619	0.332	-114.75	-218.47	0.00	0.69
26000	0.007	43.477	0.957	49	0	0.000	0.460	0.176	-113.54	-205.58	0.00	0.00
27000	0.020	26.915	0.746	37	0	0.000	0.530	-0.150	-108.29	-155.95	-0.00	-0.69
28000	0.002	32.337	0.790	45	0	0.000	0.517	-0.372	-112.88	-188.67	0.00	1.44
29000	0.010	27.288	0.475	46	0	0.000	0.487	-0.278	-107.11	-192.86	-0.01	0.00
30000	0.000	14.405	0.333	49	0	0.000	0.530	-0.119	-107.90	-205.56	0.02	0.00
31000	0.021	68.482	0.688	48	0	0.000	0.514	-0.420	-116.61	-201.31	-0.00	0.00
32000	0.001	39.110	0.871	40	0	0.000	0.533	-0.844	-124.72	-168.02	-0.00	1.07
33000	0.022	41.984	0.726	45	0	0.000	0.487	-0.106	-102.71	-188.66	0.00	-4.98
34000	0.059	17.161	1.216	42	0	0.000	0.404	0.141	-111.01	-176.22	0.00	-1.11
35000	0.001	26.627	0.693	43	0	0.000	0.555	0.212	-114.78	-180.33	-0.00	1.19
36000	0.030	28.046	0.969	43	0	0.000	0.361	0.197	-123.36	-180.36	-0.03	0.00
37000	0.017	20.882	1.715	41	0	0.000	0.509	-0.856	-115.24	-172.11	0.00	-0.21
38000	0.010	45.471	1.244	31	0	0.000	0.512	0.126	-111.95	-132.51	0.00	0.00
39000	0.151	21.177	1.681	34	0	0.000	0.566	0.485	-113.51	-144.09	0.00	0.00
40000	0.005	41.746	1.009	40	0	0.000	0.644	-0.224	-116.04	-168.03	-0.00	0.00
41000	0.153	23.099	1.123	40	0	0.000	0.566	0.049	-119.42	-168.03	-0.00	-0.69
42000	0.000	5.988	0.536	36	0	0.000	0.687	-0.666	-119.08	-151.94	0.00	-0.25
43000	0.001	27.311	2.231	39	0	0.000	0.567	1.218	-116.90	-163.99	-0.00	-0.69
44000	0.001	41.664	0.972	47	0	0.000	0.472	0.041	-109.98	-197.08	-0.00	0.00
45000	0.005	33.275	1.338	51	0	0.000	0.359	-0.092	-111.90	-214.16	-0.00	0.00
46000	0.006	437.863	1.122	41	0	0.000	0.394	-0.367	-102.17	-172.13	0.00	-0.14
47000	0.023	19.190	0.678	38	0	0.000	0.679	-0.192	-118.28	-159.93	0.01	0.00
48000	0.003	23.668	1.138	41	0	0.000	0.630	-0.042	-128.45	-172.11	0.00	-1.91
49000	0.011	60.952	1.707	46	0	0.000	0.519	-1.191	-119.80	-192.88	0.00	0.00
50000	0.062	29.868	0.550	34	0	0.000	0.401	-0.015	-103.09	-144.10	0.00	0.69
51000	0.016	44.677	1.241	42	0	0.000	0.335	-0.359	-115.48	-176.21	0.01	0.00
52000	0.044	23.389	0.325	37	0	0.000	0.754	-0.186	-123.23	-155.92	0.00	0.00
53000	0.041	88.561	1.642	43	0	0.000	0.375	0.342	-109.95	-180.35	-0.00	0.00
54000	0.056	84.065	1.213	42	0	0.000	0.386	0.229	-110.64	-176.22	0.00	-1.30
55000	0.082	32.465	1.028	39	0	0.000	0.435	0.039	-110.00	-163.98	0.00	0.00
56000	0.040	75.231	0.760	43	0	0.000	0.542	0.411	-111.25	-180.35	-0.00	-0.69
57000	0.003	72.909	0.787	37	0	0.000	0.568	0.631	-118.06	-155.93	-0.00	0.00
58000	0.014	55.074	0.731	49	0	0.000	0.474	-0.075	-108.07	-205.58	0.00	-2.59
59000	0.003	71.857	1.147	41	0	0.000	0.364	-0.322	-106.55	-172.11	0.00	0.00
60000	0.005	49.601	0.921	40	0	0.000	0.493	-0.517	-114.16	-168.03	0.00	-0.50
61000	0.143	56.988	1.428	39	0	0.000	0.493	-0.300	-116.01	-163.98	0.00	-0.66
62000	0.036	18.507	0.540	41	0	0.000	0.500	0.467	-115.98	-172.10	0.00	0.69
63000	0.002	26.827	0.839	34	0	0.000	0.433	-0.082	-109.01	-144.09	0.00	4.04
64000	0.006	6.095	0.276	34	0	0.000	0.768	-0.019	-116.99	-144.07	0.00	0.00
65000	0.004	270.455	2.190	41	0	0.000	0.347	-0.623	-110.09	-172.13	0.00	-4.70
66000	0.022	57.140	1.364	37	0	0.000	0.487	-0.154	-116.09	-155.94	-0.00	0.00
67000	0.001	97.313	0.708	36	0	0.000	0.553	-2.282	-121.17	-151.97	0.00	0.69
68000	0.000	48.130	1.359	35	0	0.000	0.553	-0.697	-113.28	-148.01	-0.00	0.00
69000	0.001	57.964	1.087	43	0	0.000	0.433	0.209	-110.03	-180.35	-0.00	0.00
70000	0.009	23.621	1.735	40	0	0.000	0.452	-0.925	-111.73	-168.04	-0.00	0.00
71000	0.042	68.398	0.337	45	0	0.000	0.575	-0.330	-104.56	-188.67	0.00	-0.84
72000	0.040	46.372	0.755	41	0	0.000	0.491	-0.114	-111.34	-172.11	-0.00	-0.69
73000	0.046	57.547	1.975	45	0	0.000	0.403	-0.211	-113.88	-188.68	-0.00	-0.69
74000	0.002	14.169	0.311	49	0	0.000	0.725	-0.050	-116.09	-205.56	0.00	-5.69
75000	0.017	132.432	1.134	35	0	0.000	0.465	-0.857	-116.97	-148.05	0.00	0.00
76000	0.055	51.344	0.665	41	0	0.000	0.558	-0.039	-110.55	-172.11	0.00	0.00
77000	0.018	133.938	0.577	45	0	0.000	0.502	0.245	-112.55	-188.66	0.00	4.89
78000	0.110	83.528	1.200	43	0	0.000	0.559	-0.405	-118.26	-180.38	-0.00	0.00
79000	0.001	43.009	1.155	45	0	0.000	0.473	-0.170	-113.06	-188.68	0.00	0.69
80000	0.047	30.008	1.339	43	0	0.000	0.400	0.004	-111.29	-180.36	0.00	3.87
81000	0.041	42.100	1.365	45	0	0.000	0.450	0.292	-113.34	-188.68	-0.03	0.00
82000	0.031	13.088	0.813	46	0	0.000	0.478	-0.571	-114.64	-192.85	0.00	0.00
83000	0.056	16.948	0.950	44	0	0.000	0.574	-0.380	-116.32	-184.48	-0.00	0.00
84000	0.029	13.923	0.783	37	0	0.000	0.668	-0.835	-124.96	-155.93	0.00	-1.35
85000	0.034	58.351	1.090	42	0	0.000	0.609	0.089	-115.76	-176.21	0.00	-1.52
86000	0.032	41.014	0.555	44	0	0.000	0.458	-0.298	-112.95	-184.51	0.00	0.00
87000	0.018	38.409	0.998	50	0	0.000	0.583	0.056	-117.51	-209.85	0.00	-5.04
88000	0.030	103.711	0.970	38	0	0.000	0.366	-0.404	-108.64	-159.95	0.00	-1.87
89000	0.038	83.403	0.318	46	0	0.000	0.426	-0.081	-104.25	-192.86	0.00	-0.14
90000	0.100	51.954	0.871	46	0	0.000	0.455	0.176	-111.55	-192.86	0.00	-0.74
