File,Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,BodySize,BodyMass,n.pulses,drum_duration,pulseRateMedian,pulseRateDeviation,interval_min,interval_max,interv1_intervMax,intervL_intervMax,interval_slope_lm2_ordre_coefa,interval_nPVI,MeanAcc,drum_peak_F,Amp_pulses_min,Amp_pulses_first,Amp_pulses_last,Amp_pulses_Q25,Amp_pulses_Q75,Amp_pulses_IQR,nPAVI,Amp_slope_lm2_ordre_coefa,n_seq,interval_seq_median
Campephilus_guatemalensis_72516.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.252088642,-0.829012868,0.088357105,1.472513426,-0.346429952,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.647493228,2.480490648,1.257846277,1.451604787,1.766140567,1.230135297,-1.317936964,-0.955732301,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_73248.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.25037033,-0.896589428,0.088357105,1.589701068,-0.327504072,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.487302927,2.617179965,1.147940144,1.679354085,1.946583287,1.230135297,-1.546049709,-0.96431081,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_73251.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.250098388,-0.907011942,0.088357105,1.608247321,-0.32450884,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.934362357,1.475295614,1.257846277,0.617183769,0.439188839,1.230135297,0.359573787,-0.883235308,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_73423.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.242388749,-1.175036266,0.088357105,2.134039283,-0.239593098,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.101249025,2.718946752,1.257846277,1.649549245,2.080924991,1.230135297,-1.715882303,-0.970526441,5.06E-18,-0.252345907,-1.14E-16
Campephilus_guatemalensis_76674.wav,Campephilus_guatemalensis,Cam_gua,Campephilus,New_World,Neotropic,910002.6,DA2,2,14,0,7,2,0,34.5,243.5,-1.635452101,-1.239791991,-1.254797962,0.088357105,2.311136316,-0.210991812,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.907727088,2.437253215,1.00430077,1.679354085,1.709063101,1.230135297,-1.245780561,-0.952962088,5.06E-18,-0.252345907,-1.14E-16
Campephilus_haematogaster_217476.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.635452101,-1.25646848,-0.642139479,0.088357105,1.173811548,-0.394670499,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.945217109,1.959918628,1.257846277,1.019473489,1.078936674,1.230135297,-0.449185,-0.920423142,5.06E-18,-0.252345907,-1.14E-16
Campephilus_haematogaster_261898.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.635452101,-1.26105361,-0.420419975,0.088357105,0.861108973,-0.445172167,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.459080963,2.33169449,1.257846277,1.328087821,1.569715683,1.230135297,-1.069619825,-0.946080712,5.06E-18,-0.252345907,-1.14E-16
Campephilus_haematogaster_262898.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.547094709,-1.159874221,-1.116263187,0.088357105,1.795168335,-0.222100726,0.561890408,0.582726027,1.25E-17,-0.130423259,0.020944936,-0.756276217,1.417599716,1.257846277,0.569289909,1.011615737,0.832242992,-0.65997128,-0.877963555,-3.119342881,-0.252345907,-1.14E-16
Campephilus_haematogaster_275336.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.635452101,-1.255740578,-0.674760179,0.088357105,1.223453978,-0.386653214,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.911127533,1.823337592,1.257846277,0.9060964,0.898636896,1.230135297,-0.221252959,-0.910398372,5.06E-18,-0.252345907,-1.14E-16
Campephilus_haematogaster_275797.wav,Campephilus_haematogaster,Cam_hae,Campephilus,New_World,Neotropic,295941.67,DA1,2,16,4,16,4,2,34,237.5,-1.547094709,-1.158457903,-1.138333313,0.088357105,1.813937153,-0.209532252,0.561890408,0.548371723,1.25E-17,-0.084708774,0.062175682,-0.756276217,1.428990909,1.257846277,0.578745836,1.241338155,1.209983302,-0.669476322,-0.879401738,-6.740023776,-0.252345907,-1.14E-16
