state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.005	330.059	0.780	46	0	0.000	0.525	0.178	-115.71	-192.93	-0.04	0.00
2000	0.023	62.306	0.817	50	0	0.000	0.571	-0.342	-113.64	-209.86	0.00	-0.69
3000	0.026	18.939	1.211	43	0	0.000	0.653	0.502	-119.60	-180.35	0.00	0.00
4000	0.143	45.574	1.961	46	0	0.000	0.137	1.349	-120.49	-192.91	-0.00	0.00
5000	0.014	91.681	1.260	45	0	0.000	0.422	-0.360	-113.99	-188.67	-0.00	-0.69
6000	0.003	20.266	0.823	41	0	0.000	0.610	-0.248	-117.08	-172.10	-0.00	0.00
7000	0.021	45.993	1.186	31	0	0.000	0.497	0.126	-117.67	-132.50	-0.00	1.06
8000	0.003	620.435	1.391	45	0	0.000	0.400	-0.100	-111.46	-188.71	0.00	-0.49
9000	0.001	37.790	1.335	47	0	0.000	0.618	0.478	-117.72	-197.08	-0.00	0.00
10000	0.007	167.540	1.375	47	0	0.000	0.273	-0.027	-108.59	-197.12	0.00	0.00
11000	0.023	125.065	1.050	43	0	0.000	0.516	-0.298	-117.54	-180.36	0.00	0.69
12000	0.012	92.586	2.144	45	0	0.000	0.565	0.121	-123.31	-188.69	0.00	0.77
13000	0.019	61.627	1.312	50	0	0.000	0.541	-0.842	-123.48	-209.86	0.00	3.42
14000	0.005	45.725	0.819	38	0	0.000	0.447	-0.088	-112.47	-159.95	0.00	0.00
15000	0.003	9.535	0.375	38	0	0.000	0.629	-0.190	-119.42	-159.92	-0.00	-0.69
16000	0.000	14.583	0.974	30	0	0.000	0.659	0.180	-118.82	-128.69	-0.02	0.00
17000	0.130	48.707	2.189	38	0	0.000	0.374	-0.838	-111.30	-159.98	0.00	0.69
18000	0.001	2.731	0.206	42	0	0.000	0.662	-0.204	-123.80	-176.19	0.00	-1.12
19000	0.008	39.400	0.964	46	0	0.000	0.627	0.494	-121.37	-192.86	0.00	0.00
20000	0.024	46.793	0.897	36	0	0.000	0.667	0.978	-120.03	-151.96	0.00	1.60
21000	0.019	94.262	1.119	39	0	0.000	0.369	-0.089	-107.22	-163.99	0.00	0.88
22000	0.017	221.292	1.602	39	0	0.000	0.429	0.436	-112.90	-164.01	0.00	-0.10
23000	0.012	13.527	1.238	33	0	0.000	0.443	0.802	-110.70	-140.19	-0.00	0.69
24000	0.039	157.888	1.241	41	0	0.000	0.353	-0.042	-117.23	-172.12	-0.00	0.00
25000	0.000	11.173	0.590	38	0	0.000	0.561	0.093	-113.09	-159.93	0.00	-1.44
26000	0.023	22.841	1.789	44	0	0.000	0.555	0.146	-121.27	-184.50	-0.00	-0.69
27000	0.024	57.070	1.742	36	0	0.000	0.367	-0.348	-117.80	-151.97	0.00	0.00
28000	0.016	45.300	1.760	43	0	0.000	0.421	0.120	-113.77	-180.36	0.00	4.25
29000	0.044	157.110	1.740	39	0	0.000	0.539	-0.158	-119.51	-164.01	0.00	4.88
30000	0.004	6.719	0.809	37	0	0.000	0.665	-0.419	-118.94	-155.93	0.00	-5.29
31000	0.023	21.261	0.926	47	0	0.000	0.515	-0.776	-113.72	-197.08	0.00	-3.59
32000	0.015	27.124	1.301	41	0	0.000	0.750	-0.353	-124.35	-172.10	0.00	-0.69
33000	0.098	84.224	1.025	41	0	0.000	0.467	0.456	-111.43	-172.13	0.00	0.00
34000	0.001	79.984	1.594	43	0	0.000	0.463	0.643	-126.81	-180.37	0.00	-0.83
35000	0.061	29.324	0.476	37	0	0.000	0.594	0.082	-119.51	-155.94	0.00	0.00
