,Cam_gua,Cel_cas,Col_rub,Dry_lin,Leuco_fum,Mel_aur,Mel_puc
Cam_gua,NA,5.038156783,5.913214939,7.419920618,5.759037783,4.544042364,4.799679429
Cel_cas,NA,NA,2.234202939,3.535690149,2.01270934,2.385659327,1.573129775
Col_rub,NA,NA,NA,3.306232462,2.353790803,2.623966574,1.79958464
Dry_lin,NA,NA,NA,NA,4.568244897,3.825598202,3.812136768
Leuco_fum,NA,NA,NA,NA,NA,3.331413057,2.276962329
Mel_aur,NA,NA,NA,NA,NA,NA,2.070363955
Mel_puc,NA,NA,NA,NA,NA,NA,NA
