,Cam_mel,Cam_rub,Cel_ele,Cel_tor,Col_rub,Dry_lin,Picum_exi,Ven_cas
Cam_mel,NA,5.147101564,4.537754805,4.098670223,5.226327296,4.270997405,7.578248593,5.616384183
Cam_rub,NA,NA,3.474330602,4.343831543,5.097993585,6.323704626,8.911377566,5.481076294
Cel_ele,NA,NA,NA,2.218766442,2.407413062,3.685912097,7.276898961,2.940033958
Cel_tor,NA,NA,NA,NA,2.219605884,2.835283114,6.403158971,3.590822695
Col_rub,NA,NA,NA,NA,NA,3.306232462,6.351671494,2.476244776
Dry_lin,NA,NA,NA,NA,NA,NA,6.595695004,3.827381104
Picum_exi,NA,NA,NA,NA,NA,NA,NA,7.446037209
Ven_cas,NA,NA,NA,NA,NA,NA,NA,NA
