,Chrysop_men,Din_raf,Dry_jav,Mei_tri,Mei_tuk,Mic_bra,Sas_abn
Chrysop_men,NA,2.371770145,3.667860549,3.322669692,2.842165689,4.348134303,5.543298641
Din_raf,NA,NA,3.481362989,3.07320272,2.599473632,4.100696703,4.119712887
Dry_jav,NA,NA,NA,3.920584809,3.624536352,4.226341641,4.705281888
Mei_tri,NA,NA,NA,NA,1.964807716,2.590330568,5.169720443
Mei_tuk,NA,NA,NA,NA,NA,3.442396807,5.44236291
Mic_bra,NA,NA,NA,NA,NA,NA,4.517955236
Sas_abn,NA,NA,NA,NA,NA,NA,NA
