state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.065	79.684	1.766	46	0	0.000	0.019	0.197	-89.74	-192.90	-0.00	-0.69
2000	0.024	396.692	0.535	45	0	0.000	0.257	-0.593	-88.64	-188.70	-0.00	0.77
3000	0.113	53.955	1.328	43	0	0.000	0.249	-0.721	-102.43	-180.38	0.00	-0.94
4000	0.017	266.529	0.523	43	0	0.000	0.351	1.100	-103.06	-180.41	-0.00	0.00
5000	0.008	67.867	1.957	39	0	0.000	0.241	0.249	-92.02	-164.00	0.00	-1.06
6000	0.126	96.887	0.662	36	0	0.000	0.212	-0.295	-90.77	-151.98	0.00	0.13
7000	0.056	118.635	0.902	42	0	0.000	0.313	0.633	-91.58	-176.26	-0.00	1.94
8000	0.030	90.713	0.909	42	0	0.000	0.335	0.266	-105.80	-176.23	0.00	-0.69
9000	0.029	95.251	1.424	46	0	0.000	0.092	-0.634	-111.74	-192.90	0.00	-2.37
10000	0.017	214.513	1.155	46	0	0.000	0.268	-0.357	-106.21	-192.90	0.00	0.69
11000	0.068	193.002	1.490	48	0	0.000	0.240	0.900	-98.22	-201.35	-0.12	0.00
12000	0.015	102.620	1.262	45	0	0.000	0.144	0.483	-91.21	-188.72	0.00	4.77
13000	0.022	292.717	1.405	45	0	0.000	0.176	0.792	-98.26	-188.71	0.00	2.04
14000	0.008	145.448	1.188	44	0	0.000	0.013	-0.520	-76.74	-184.55	-0.03	0.00
15000	0.016	220.332	1.000	49	0	0.000	0.008	-1.612	-82.53	-205.62	-0.00	0.00
16000	0.003	602.711	2.297	51	0	0.000	0.003	-0.236	-81.09	-214.20	-0.12	0.00
17000	0.013	65.718	0.547	43	0	0.000	0.427	-0.318	-92.72	-180.35	0.00	-0.88
18000	0.019	186.948	2.343	40	0	0.000	0.207	0.153	-98.96	-168.06	0.00	-4.14
19000	0.079	60.001	1.383	37	0	0.000	0.158	0.996	-83.63	-155.96	0.00	1.39
20000	0.002	242.912	0.446	41	0	0.000	0.231	-0.429	-86.80	-172.15	0.00	4.46
21000	0.019	55.529	1.203	43	0	0.000	0.087	-0.366	-90.98	-180.37	0.00	-0.69
22000	0.016	198.220	0.494	46	0	0.000	0.250	-0.620	-92.55	-192.90	0.00	4.77
23000	0.051	254.418	1.249	47	0	0.000	0.111	-0.559	-90.24	-197.17	0.00	0.00
24000	0.016	25.954	1.021	38	0	0.000	0.158	-0.312	-90.12	-159.95	0.00	0.00
25000	0.003	82.883	0.981	44	0	0.000	0.168	0.598	-88.86	-184.52	0.00	1.32
26000	0.001	40.375	1.498	48	0	0.000	0.086	-0.302	-91.23	-201.34	-0.00	0.00
27000	0.012	84.377	1.012	49	0	0.000	0.225	0.049	-98.49	-205.59	0.00	0.00
28000	0.053	49.591	0.892	43	0	0.000	0.185	0.125	-86.48	-180.35	0.00	0.00
29000	0.025	321.139	0.707	43	0	0.000	0.041	-0.618	-89.30	-180.40	0.00	2.53
30000	0.096	206.227	0.907	42	0	0.000	0.111	-0.296	-85.54	-176.26	-0.13	0.00
31000	0.014	322.990	2.274	55	0	0.000	0.055	-0.018	-88.96	-231.61	-0.00	1.06
32000	0.003	30.445	0.920	47	0	0.000	0.153	-0.437	-77.98	-197.09	-0.00	-0.69
33000	0.147	77.531	1.715	47	0	0.000	0.094	-0.628	-105.99	-197.12	0.00	0.28
34000	0.003	26.647	0.795	44	0	0.000	0.336	0.077	-100.13	-184.49	0.00	-1.89
35000	0.136	77.876	1.303	38	0	0.000	0.222	0.010	-98.60	-159.99	-0.00	0.00
36000	0.073	70.805	1.356	44	0	0.000	0.134	-0.722	-95.46	-184.51	0.00	-1.59
37000	0.114	243.414	1.839	47	0	0.000	0.078	-0.513	-99.05	-197.11	-0.00	0.00
38000	0.027	93.767	0.643	41	0	0.000	0.029	0.123	-83.81	-172.14	0.01	0.00
39000	0.025	93.269	1.380	48	0	0.000	0.127	-0.441	-97.13	-201.38	0.00	-1.01
40000	0.044	59.360	0.702	47	0	0.000	0.116	-0.099	-85.75	-197.11	-0.00	0.43
41000	0.060	249.911	1.771	54	0	0.000	0.024	0.642	-94.09	-227.20	-0.00	1.77
42000	0.024	35.398	1.740	40	0	0.000	0.234	-0.324	-100.12	-168.05	-0.00	-0.69
43000	0.006	119.873	0.682	45	0	0.000	0.228	0.375	-97.35	-188.70	0.00	-1.30
44000	0.078	76.358	0.849	46	0	0.000	0.236	-0.521	-93.35	-192.88	0.00	0.69
45000	0.047	39.063	0.367	32	0	0.000	0.351	-1.745	-97.93	-136.35	0.00	1.71
46000	0.012	431.322	0.848	55	0	0.000	0.221	-0.872	-101.97	-231.61	-0.00	0.00
47000	0.157	334.183	1.587	57	0	0.000	0.271	-0.064	-107.03	-240.40	0.00	4.64
48000	0.040	78.511	1.305	43	0	0.000	0.198	0.112	-97.41	-180.39	0.00	0.05
49000	0.028	117.841	0.603	45	0	0.000	0.267	0.209	-97.41	-188.70	0.00	-1.75
50000	0.078	75.524	1.123	38	0	0.000	0.225	0.333	-93.54	-159.98	0.00	4.46
51000	0.000	234.899	1.420	41	0	0.000	0.264	-1.390	-95.25	-172.16	0.00	0.00
52000	0.018	162.477	0.962	44	0	0.000	0.010	-0.082	-77.06	-184.54	-0.00	0.13
53000	0.009	61.242	1.251	41	0	0.000	0.048	-0.195	-83.19	-172.15	0.00	0.00
54000	0.025	73.315	1.786	47	0	0.000	0.004	-1.197	-87.66	-197.11	0.00	-0.69
55000	0.003	86.635	1.022	47	0	0.000	0.178	-0.255	-87.41	-197.11	0.00	-0.83
56000	0.056	176.344	2.135	45	0	0.000	0.093	-0.140	-86.99	-188.70	-0.00	-0.69
57000	0.054	64.451	0.981	45	0	0.000	0.152	-1.426	-89.52	-188.69	-0.00	0.69
58000	0.031	117.118	0.662	45	0	0.000	0.026	-3.024	-95.43	-188.70	0.00	-3.11
59000	0.011	443.497	1.166	44	0	0.000	0.086	-1.330	-95.02	-184.57	0.00	-0.60
60000	0.047	266.363	1.739	38	0	0.000	0.130	0.264	-91.72	-160.00	0.00	-0.69
61000	0.096	242.175	0.892	46	0	0.000	0.326	0.346	-116.08	-192.92	0.08	0.00
62000	0.007	602.116	0.982	45	0	0.000	0.239	-0.510	-100.67	-188.79	-0.00	0.00
63000	0.166	202.554	0.936	44	0	0.000	0.190	-0.746	-102.32	-184.57	-0.01	0.00
64000	0.053	345.866	0.574	42	0	0.000	0.268	-0.349	-98.10	-176.26	0.01	0.00
65000	0.071	83.586	1.809	41	0	0.000	0.263	0.378	-100.00	-172.15	-0.01	0.69
66000	0.055	41.940	1.770	45	0	0.000	0.130	-0.493	-92.77	-188.69	0.00	0.00
67000	0.017	21.285	0.966	47	0	0.000	0.187	0.427	-94.67	-197.09	-0.00	0.00
68000	0.011	28.598	1.742	42	0	0.000	0.230	0.350	-97.88	-176.22	0.00	0.69
69000	0.019	186.221	2.222	48	0	0.000	0.053	0.024	-100.64	-201.35	-0.00	0.00
70000	0.002	67.093	1.003	47	0	0.000	0.148	0.843	-87.39	-197.11	0.00	0.00
71000	0.016	2611.833	1.284	42	0	0.000	0.006	0.184	-70.22	-176.37	0.00	-4.56
72000	0.031	930.572	0.362	41	0	0.000	0.233	0.607	-99.02	-172.21	0.00	-4.17
73000	0.008	203.813	0.670	46	0	0.000	0.268	0.425	-92.97	-192.90	0.00	4.88
74000	0.046	197.414	2.194	42	0	0.000	0.022	0.227	-109.08	-176.27	-0.07	0.00
75000	0.005	82.738	0.345	42	0	0.000	0.146	0.122	-79.23	-176.23	0.00	-0.05
76000	0.005	20299.222	1.363	43	0	0.000	0.148	-0.388	-85.32	-180.53	-0.00	-0.69
77000	0.006	737.788	1.362	35	0	0.000	0.093	-0.198	-80.40	-148.11	0.00	0.19
78000	0.006	410.890	0.846	29	0	0.000	0.141	-0.262	-74.88	-124.99	0.00	4.35
79000	0.029	124.052	0.803	46	0	0.000	0.141	0.248	-82.20	-192.88	0.00	-0.01
80000	0.024	670.558	0.822	43	0	0.000	0.038	0.154	-72.90	-180.40	0.00	1.39
81000	0.044	247.324	0.921	40	0	0.000	0.134	-0.225	-82.04	-168.11	-0.01	0.00
82000	0.008	119.062	0.750	50	0	0.000	0.188	-0.250	-96.50	-209.88	0.00	4.42
83000	0.080	94.823	3.011	42	0	0.000	0.242	-0.043	-116.94	-176.25	0.00	4.18
84000	0.133	506.577	1.928	44	0	0.000	0.240	0.101	-105.43	-184.58	0.09	0.00
85000	0.043	163.655	1.982	44	0	0.000	0.114	0.336	-91.73	-184.53	0.00	2.72
86000	0.043	94.869	1.331	43	0	0.000	0.079	-0.041	-86.03	-180.38	-0.00	0.00
87000	0.004	257.357	1.057	44	0	0.000	0.171	0.072	-81.61	-184.52	-0.00	1.14
88000	0.002	325.569	1.566	38	0	0.000	0.090	0.288	-71.75	-159.99	0.00	-2.85
89000	0.008	211.134	1.429	35	0	0.000	0.078	0.610	-88.74	-148.09	-0.00	-0.69
90000	0.001	29.649	0.858	45	0	0.000	0.093	-0.404	-81.02	-188.68	0.00	0.00
91000	0.144	77.268	1.099	35	0	0.000	0.209	1.672	-102.94	-148.04	0.00	0.00
92000	0.053	103.126	0.777	51	0	0.000	0.108	-0.283	-84.10	-214.18	0.01	0.69
93000	0.036	187.227	1.566	40	0	0.000	0.147	0.223	-90.45	-168.09	0.00	-1.31
94000	0.034	1290.308	1.256	37	0	0.000	0.028	-1.047	-90.74	-156.07	0.00	1.41
95000	0.005	987.147	1.662	43	0	0.000	0.068	-0.075	-90.39	-180.47	-0.00	0.00
96000	0.051	101.945	0.542	40	0	0.000	0.252	0.648	-85.25	-168.05	0.00	-1.94
97000	0.032	37.543	1.592	38	0	0.000	0.133	-0.181	-82.03	-159.95	-0.00	0.69
98000	0.018	78.295	0.904	51	0	0.000	0.279	-0.437	-90.62	-214.18	-0.00	0.00
99000	0.010	59.294	0.855	43	0	0.000	0.377	0.349	-105.16	-180.36	-0.00	0.00
100000	0.032	88.794	0.631	38	0	0.000	0.400	-0.013	-97.02	-159.99	-0.00	-0.69
101000	0.090	98.557	2.267	39	0	0.000	0.275	0.145	-101.51	-164.01	0.00	-1.08
102000	0.046	549.473	1.498	34	0	0.000	0.249	-1.441	-111.08	-144.16	-0.00	0.33
103000	0.004	107.392	0.803	40	0	0.000	0.232	0.043	-97.39	-168.07	-0.00	0.00
104000	0.043	179.593	0.690	43	0	0.000	0.461	-0.540	-113.74	-180.38	0.00	0.00
