"","x"
"1",1.04705502672076
"2",0.869797600726152
"3",1.19681081390964
"4",0.781640016780218
"5",0.861894887220212
"6",0.974890818080263
"7",1.04487161033826
"8",0.771844567650595
"9",0.630487069022986
"10",0.657761228646085
"11",0.620245568510228
"12",0.601406258712776
"13",0.597085031100857
"14",0.643905913387854
"15",0.702239987368038
"16",0.691853876114891
"17",0.615875114084489
"18",0.610561247553938
"19",0.614110923425074
"20",0.768352758868077
"21",0.522599777008941
"22",0.449515163859788
"23",0.46792732210284
"24",0.557911040665619
"25",0.585415145062232
"26",0.597219402078767
"27",0.506195080515472
"28",0.469776562024488
"29",0.562619825287592
"30",0.704073953809136
"31",0.704073953809136
"32",0.704527081975634
"33",0.695283806966786
"34",0.759605456863529
"35",0.747479238910609
"36",0.720526057051281
"37",1.39890630399183
"38",1.27140271521175
"39",1.21787123709216
"40",1.2078722965065
"41",1.23648974463927
"42",1.33465908860252
"43",1.41790443553039
"44",1.31629625422442
"45",1.7001887019622
"46",1.0226786329644
"47",1.05032606424661
"48",0.94341151873855
"49",1.24463677772584
"50",1.52121621683814
"51",1.8270584301529
"52",1.44663049284759
"53",1.11845224026566
"54",0.990119596779465
"55",0.938761761312991
"56",0.966888621435641
"57",1.01573884472635
"58",0.923088752409499
"59",1.09292335212719
"60",0.604159185431546
"61",0.443840276670596
"62",0.382788830006282
"63",0.357644993196766
"64",0.390141531031027
"65",0.423193516484836
"66",0.512611045110198
"67",0.521726462083742
"68",0.536992744495163
"69",0.5441273394057
"70",0.613548199622796
"71",0.645107384337809
"72",0.705655317995124
"73",0.430404895119125
"74",0.414192142306894
"75",0.386333351245441
"76",0.407355890917261
"77",0.461530147297134
"78",0.445136954464712
"79",0.474893718942048
"80",0.540443649723119
"81",0.563808172526995
"82",0.573757448492991
"83",0.645107384337809
"84",0.524770249176018
"85",0.56253855342207
"86",0.727023897978365
"87",0.893214072797381
"88",0.917976613649938
"89",0.893214072797381
"90",0.937453035984225
"91",0.893214072797381
"92",0.913289894544241
"93",1.93420549112282
"94",2.01316035985681
"95",1.3702249316556
"96",0.92172364384531
"97",0.692972742124807
"98",0.581226543445001
"99",0.56795977992284
"100",0.542978445227087
"101",0.568393109969673
"102",0.57902769637405
"103",0.582289281531616
"104",0.732015951206886
"105",0.617674171127333
"106",0.621904757345101
"107",0.621904757345101
"108",0.82052625545138
"109",1.29589819018974
"110",1.72782194917666
"111",2.02968266905563
"112",0.599498558689569
"113",0.408457630088878
"114",0.333848537601569
"115",0.304293430441355
"116",0.323890595534619
"117",0.432187393724479
"118",0.584456007337548
"119",0.723111631331727
"120",0.820063455098608
"121",0.92986701014203
"122",0.814415340499259
"123",0.964809118485987
"124",0.827044636940968
"125",0.595746317291077
"126",0.748884268968496
"127",0.828356726592184
"128",0.75295299094557
"129",0.887618998085881
"130",0.346087831660587
"131",0.306410986272788
"132",0.323370943425688
"133",0.361427799830785
"134",0.437125074863892
"135",0.43887282010165
"136",0.335371080994138
"137",0.372278052595012
"138",0.472563017902159
"139",0.410237780945769
"140",0.335635636062375
"141",0.341713442892811
"142",0.416404027052987
"143",0.459106435917486
"144",0.448903066860078
"145",0.508083392519892
"146",0.440378335842304
"147",0.350802869813264
"148",0.359033068174195
"149",0.398272808743884
"150",0.418896916547555
"151",0.394865461170149
"152",0.447230072056966
"153",0.532740905012429
"154",0.566950621843474
"155",0.552419938024846
"156",0.447230072056966
"157",0.492664704030624
"158",0.688465599491759
"159",0.779488710842216
"160",0.752720431660141
"161",0.859447435277806
"162",0.662558897966324
"163",0.673641313450926
"164",0.711973087686447
"165",0.679901226668212
"166",0.666907583754708
"167",0.935304657895074
"168",0.977345396069814
"169",0.944393641391123
"170",1.31843119089598
"171",1.51424254669831
"172",1.35475720333002
"173",1.36899588252579
"174",1.37205600790128
"175",1.47876988199182
"176",1.26573673657152
"177",1.30434562919325
"178",1.27465191572903
"179",1.19928284926084
"180",1.30655521651987
"181",1.89265626949442
"182",1.29172445657794
