"","x"
"1",1.41931867981316
"2",1.14095620884788
"3",0.974217601330975
"4",1.04592768184245
"5",0.827274424797099
"6",0.811528560211936
"7",0.856555451429758
"8",1.04530488190962
"9",1.04334548276438
"10",0.937426671377813
"11",0.862634370496445
"12",0.763482492353022
"13",0.703442583000185
"14",0.721599284949764
"15",0.733350388994055
"16",0.743294613324644
"17",0.727699753276914
"18",0.739565593236572
"19",1.02578958548326
"20",0.982485746895342
"21",1.15394803597279
"22",1.0696123642417
"23",1.09546779043242
"24",1.11973377762047
"25",1.21145285366827
"26",1.12472940035772
"27",1.09546779043242
"28",1.02361855651047
"29",1.31293367480466
"30",1.11550790379383
"31",1.06879228539657
"32",1.12940321725317
"33",1.1755979193559
"34",1.1755979193559
"35",1.1169510386844
"36",1.0991496891752
"37",0.799048685572127
"38",0.785570543676268
"39",0.768182466455751
"40",0.826528141015881
"41",0.801634900052393
"42",0.855861009693169
"43",0.990473386320058
"44",0.985003912453044
"45",0.812846643119631
"46",0.736877304528799
"47",0.639556454771863
"48",0.689713973121699
"49",0.617885834992932
"50",0.638720376076966
"51",0.636329765639599
"52",0.678926580562172
"53",0.705375308541411
"54",0.820046388477232
"55",0.754582630457793
"56",0.755347384577575
"57",0.799094338123194
"58",0.822663002354182
"59",0.754881491968653
"60",1.50092212879209
"61",1.49119066769889
"62",1.27524053929149
"63",1.17482208592851
"64",1.27216766714128
"65",1.37431192144497
"66",1.21279562974072
"67",1.12722320014183
"68",1.08901818415578
"69",1.11890221386305
"70",1.13500674130109
"71",1.10290634384275
"72",1.13329620911203
"73",1.74054355144439
"74",1.24569728087533
"75",1.19227877407522
"76",1.16609098369132
"77",1.1937545043012
"78",1.20065046502852
"79",1.95257651055274
"80",1.98521575701188
"81",2.30364367488571
"82",2.61272841531141
"83",2.10522517207878
"84",1.89387340020637
"85",2.21509160773407
"86",2.00524887783492
"87",2.53145215766327
"88",2.87813019958038
"89",2.37863588676479
"90",2.638742213803
"91",2.41737351854712
"92",2.17820018355647
"93",0.776284302835841
"94",0.588272983840956
"95",0.530492607395832
"96",0.46409566718303
"97",0.440016457673682
"98",0.491273946139441
"99",0.55850143844936
"100",0.637825178033186
"101",0.667834930451774
"102",0.783777970876228
"103",0.648867607758749
"104",0.536035959631824
"105",0.433404689880894
"106",0.500315451569364
"107",0.440858078984699
"108",0.507485426690043
"109",0.592451468162763
"110",0.627088424201913
"111",0.881306034472467
"112",1.04549763701136
"113",1.06935417225079
"114",1.01279438172045
"115",1.30770335985165
"116",1.1963945636378
"117",1.36861215975119
"118",1.51254168230455
"119",1.22752076122568
"120",1.2231897994198
"121",1.20417196378215
"122",1.68605989062772
"123",1.91637281871555
"124",1.47112268828045
"125",1.63076022742311
"126",1.58642658526677
"127",1.57116567092002
"128",1.52233943869818
"129",1.72027883796245
"130",1.29877377545109
"131",1.62427256334999
"132",1.48810069986841
"133",1.55309567473783
"134",1.59781152261453
"135",1.66182129134535
"136",1.42926218857401
"137",1.91350719842511
"138",1.99543269056051
"139",1.7927106795368
"140",0.893768015761708
"141",0.694549493495743
"142",0.643014466778831
"143",0.618544117725124
"144",0.614938302298306
"145",0.644419616105671
"146",0.677297053239525
"147",0.714061619701491
"148",0.985832047755178
"149",1.09863194349466
"150",1.16202005424059
"151",1.25528519145758
"152",1.56990648320944
"153",1.76489330242796
"154",2.01679331565239
"155",1.74404629868611
"156",1.76657926229329
"157",1.28668450850062
"158",1.00867211509299
"159",1.07102842386729
"160",1.19048574692191
"161",1.04263132314091
"162",0.899763407047587
"163",0.863555610349504
"164",0.954852126880898
"165",0.908386795543964
"166",0.943137861674448
"167",2.19411299798425
"168",1.98296853538164
"169",2.19834200666123
"170",1.24719967682863
"171",1.23692705545489
"172",1.46224313522897
"173",1.74824964387632
"174",2.15052627049395
"175",2.27556900743053
"176",2.06906103011775
"177",1.56551716415156
"178",1.63467030867762
"179",1.60440093221049
"180",1.74314834893138
"181",1.23248952826482
"182",1.31702003656509
