"","x"
"1",0.915775848408611
"2",1.02283740048625
"3",1.12405084396853
"4",1.07440466710225
"5",0.9562651980978
"6",0.90960652898157
"7",0.838650250919378
"8",0.831550930073958
"9",0.787137620675833
"10",0.923780677780922
"11",0.791344231928593
"12",0.724526075413924
"13",0.72199967200826
"14",0.690972274109627
"15",0.693140942034302
"16",0.678529035538352
"17",0.717868328221902
"18",0.698440763444714
"19",0.76469206407976
"20",0.91654617319963
"21",0.683171531766079
"22",0.600936648011807
"23",0.574811201662692
"24",0.542516484732728
"25",0.56685636926983
"26",0.530005725825641
"27",0.594360110170197
"28",0.602989463345197
"29",0.678529035538352
"30",0.772399955969538
"31",0.846940319705861
"32",0.90548363041716
"33",0.897823918966179
"34",0.959380325265782
"35",0.890449428501231
"36",0.817170311242114
"37",0.751156055091564
"38",0.863594797592029
"39",0.902925231169006
"40",0.935820329235094
"41",0.853012645608543
"42",0.936383660260081
"43",0.937758810377665
"44",1.0475281650975
"45",0.733266307581167
"46",0.950793517128319
"47",1.08993125370801
"48",1.01956362140277
"49",1.34900086469908
"50",1.32416637670744
"51",1.22506699537009
"52",1.30673067540143
"53",1.56827494739729
"54",0.912309463252565
"55",0.807556705055451
"56",0.795747322027523
"57",0.837160543385283
"58",0.816341081474658
"59",0.827332837172412
"60",1.18968153971189
"61",1.04051293903756
"62",0.938530657878545
"63",0.893758056604481
"64",0.761688649249333
"65",0.719751749968064
"66",0.696446992343537
"67",0.68213422577072
"68",0.727791056682897
"69",0.692059539428064
"70",0.704975280831133
"71",0.723703628599517
"72",0.708410203159263
"73",0.773716875069726
"74",0.763290659198335
"75",0.901128258365492
"76",0.937582310280058
"77",0.887841116472239
"78",0.882176950777823
"79",1.06729293813672
"80",1.03468484624922
"81",0.983137011453027
"82",0.935773811811144
"83",0.913070783963218
"84",0.988562488184813
"85",1.15070656471068
"86",1.39960962543357
"87",1.46079495444011
"88",1.4080724540298
"89",1.28557412343112
"90",1.29325916450402
"91",1.3570601700694
"92",1.29903237454996
"93",1.42020008294285
"94",1.45616911411685
"95",1.19129598341914
"96",1.07565183512803
"97",0.959008713669864
"98",0.95891032384613
"99",0.995747297838404
"100",1.06886814670371
"101",0.988777443847411
"102",1.11246986514264
"103",0.942603083905234
"104",1.08541714183031
"105",0.874208200003263
"106",0.888747481556202
"107",0.836929310145561
"108",1.00899257746405
"109",1.10328918410246
"110",1.39101420051895
"111",1.58280401694698
"112",0.68835021641811
"113",0.450704428416159
"114",0.346898025926663
"115",0.359377692341371
"116",0.418504985775509
"117",0.52281604894962
"118",0.56239060960232
"119",0.58844089387945
"120",0.640283170809289
"121",0.617325768102302
"122",0.625957992224077
"123",0.682498183656264
"124",0.634329896302488
"125",0.746106997041435
"126",0.839335281483241
"127",0.850821525299997
"128",0.733819480252656
"129",0.890528615520117
"130",0.440533534750968
"131",0.404980112208776
"132",0.420348820114839
"133",0.489155771987532
"134",0.522443762347737
"135",0.509982756510586
"136",0.420348820114839
"137",0.444221596528196
"138",0.503903560465378
"139",0.475527432802226
"140",0.326160587746906
"141",0.329604727414166
"142",0.353936594875528
"143",0.362833037836205
"144",0.385461935046659
"145",0.362833037836205
"146",0.389257074329555
"147",0.381254887997662
"148",0.348016838156724
"149",0.404583186657452
"150",0.418504985775509
"151",0.358786296406432
"152",0.348275386432752
"153",0.360830285200437
"154",0.412096092792453
"155",0.381664766337622
"156",0.403324311170651
"157",0.418490612255385
"158",0.658539035902198
"159",0.615813698222003
"160",0.611660637451665
"161",0.604334697462809
"162",0.672823721345638
"163",0.63832851368284
"164",0.659201768480825
"165",0.659201768480825
"166",0.736193797268855
"167",0.891222749951477
"168",0.884389838038256
"169",0.899353399326244
"170",0.816188845904938
"171",0.805504557221168
"172",0.797169588006011
"173",0.772294704040533
"174",0.74036375436972
"175",0.772294704040533
"176",0.707682153519966
"177",0.778747214413607
"178",0.827803361773009
"179",0.913711826799504
"180",0.871967031332181
"181",0.813755928295808
"182",0.820499334346549
