"","x"
"1",1.26422082824593
"2",1.36103096781074
"3",1.31363376427156
"4",1.41096261587346
"5",1.22432010449192
"6",1.15886282447158
"7",1.00281198661218
"8",0.703668054926869
"9",0.529171767427614
"10",0.540376938364978
"11",0.473539753314835
"12",0.44106903333575
"13",0.436584422588234
"14",0.45318153504723
"15",0.491041259079294
"16",0.494868958539291
"17",0.446395433626054
"18",0.438440536371168
"19",0.53122725076175
"20",0.723187332652863
"21",0.512703149891829
"22",0.448416058621049
"23",0.443417495298184
"24",0.459109255605842
"25",0.493803426147287
"26",0.516697207047324
"27",0.496928029284836
"28",0.471133130183726
"29",0.536933526610615
"30",0.696473182403858
"31",0.693681556860495
"32",0.710865214955722
"33",0.779858368979282
"34",0.740599227696415
"35",0.796348927754089
"36",0.769463306614937
"37",1.15710602075048
"38",1.09449229931644
"39",1.03764123256824
"40",1.05651485027051
"41",1.07605206029011
"42",1.05940552578201
"43",1.05651485027051
"44",1.13191501069297
"45",1.50926092906449
"46",1.36114128947053
"47",1.72698605518651
"48",1.63732452363611
"49",2.28768376865312
"50",2.1715857663735
"51",1.95936792897833
"52",2.05694310591498
"53",2.23646752065528
"54",1.40039013521196
"55",1.08119992708746
"56",1.0360791968225
"57",1.14012236448451
"58",1.01553955208766
"59",1.08803820428786
"60",1.67253949373848
"61",1.58173350092958
"62",1.40339337936563
"63",1.23100151607788
"64",1.22747871043981
"65",1.18620928062747
"66",1.18011585014339
"67",1.32067834444774
"68",1.35396910812608
"69",1.30070949675843
"70",1.11002327668807
"71",1.06953149370191
"72",1.06448288620687
"73",1.17375254534776
"74",1.36445115633329
"75",1.22355237964727
"76",1.31079199568166
"77",1.30329831381727
"78",1.31829341257708
"79",1.56724811001563
"80",1.70377226392413
"81",1.65955822194945
"82",1.70377226392413
"83",1.56645308929844
"84",1.76952912834236
"85",1.56724811001563
"86",2.41302848864549
"87",1.93440700464897
"88",1.76661013529297
"89",1.7381776145949
"90",1.72912510415605
"91",1.889728193592
"92",2.39976379576896
"93",1.11304233205894
"94",0.659129648075143
"95",0.482166344925898
"96",0.413718934381161
"97",0.375496830218735
"98",0.41300722405476
"99",0.446853175869324
"100",0.589466216797394
"101",0.659897002041317
"102",0.739898570758804
"103",0.468290404631038
"104",0.422090012892098
"105",0.379736292621071
"106",0.421807924365533
"107",0.391532374272311
"108",0.437735418789316
"109",0.479375852274262
"110",0.649084011645031
"111",1.16570658109794
"112",1.33354910496979
"113",0.838092810897896
"114",0.749229355768278
"115",0.820644848325013
"116",0.689805388664467
"117",0.738589795542608
"118",0.808682887339488
"119",0.746934252940928
"120",0.760399254598933
"121",0.808423844134612
"122",1.04340154576233
"123",1.20804469802469
"124",1.09927945878436
"125",0.821347692065798
"126",0.844046741652272
"127",0.887714961791131
"128",0.913078596212616
"129",1.01281742686625
"130",0.696618336236335
"131",1.32965243725025
"132",1.43780171084163
"133",1.43780171084163
"134",1.47431114143742
"135",1.49479106039056
"136",1.58704096314991
"137",1.40763179730958
"138",1.51593877830044
"139",1.34233465798407
"140",0.664566786628363
"141",0.545558182605713
"142",0.49028847297193
"143",0.46691567317108
"144",0.484503431339833
"145",0.473542287213195
"146",0.559860488477386
"147",0.543231811219727
"148",0.672058103116243
"149",0.63952686304415
"150",0.590339307410568
"151",0.499769604550991
"152",0.459680991517532
"153",0.455630324714844
"154",0.465349181151806
"155",0.490044449499957
"156",0.476422533207143
"157",0.543810358519451
"158",1.21595293300143
"159",1.04867355715321
"160",1.09128995186132
"161",1.06796752455326
"162",1.32940860137263
"163",1.26331109802027
"164",1.26817990230126
"165",1.26323667264551
"166",1.5848174200472
"167",1.24716449476987
"168",1.26927508819097
"169",1.31689910842916
"170",1.13522867442246
"171",0.968116616726949
"172",0.902042170260839
"173",0.7997889994623
"174",0.792749385813482
"175",0.804764180961322
"176",0.801710947240992
"177",0.819335549586154
"178",0.953665620771012
"179",1.07840941935243
"180",0.975202604924322
"181",0.94418096214547
"182",1.2135407753868
