state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.006	23.425	0.495	47	0	0.000	0.463	-0.270	-107.58	-197.07	0.00	0.00
2000	0.001	40.950	1.750	40	0	0.000	0.367	0.139	-108.23	-168.03	-0.04	0.00
3000	0.018	23.962	0.701	36	0	0.000	0.457	0.242	-107.70	-151.96	0.00	-5.60
4000	0.010	15.670	1.002	41	0	0.000	0.492	0.369	-109.29	-172.10	-0.00	0.39
5000	0.052	52.097	1.218	40	0	0.000	0.396	2.473	-109.46	-168.03	-0.00	-0.69
6000	0.051	79.389	0.624	50	0	0.000	0.367	0.426	-110.68	-209.86	0.00	-0.38
7000	0.013	19.697	1.309	50	0	0.000	0.308	-1.208	-102.15	-209.85	0.00	0.00
8000	0.005	29.934	0.686	40	0	0.000	0.580	0.052	-108.14	-168.02	-0.00	0.18
9000	0.033	80.110	2.174	41	0	0.000	0.354	-0.219	-104.81	-172.13	-0.00	0.00
10000	0.010	55.933	1.150	34	0	0.000	0.553	1.492	-112.16	-144.10	0.00	-3.19
11000	0.017	37.630	1.124	39	0	0.000	0.375	-0.195	-103.96	-163.98	-0.00	0.00
12000	0.058	29.735	1.030	40	0	0.000	0.244	0.243	-102.84	-168.03	-0.00	0.00
13000	0.032	95.150	2.201	42	0	0.000	0.350	0.610	-107.50	-176.23	0.00	0.69
14000	0.001	29.128	1.054	33	0	0.000	0.401	0.791	-105.17	-140.20	0.00	0.00
15000	0.020	101.473	0.766	42	0	0.000	0.438	0.556	-106.86	-176.22	0.00	-6.32
16000	0.036	9.591	0.994	37	0	0.000	0.435	0.258	-102.27	-155.93	0.00	0.00
17000	0.028	42.925	1.030	45	0	0.000	0.421	-0.265	-109.98	-188.67	0.03	0.00
18000	0.002	24.910	0.526	44	0	0.000	0.662	0.311	-108.91	-184.48	0.00	-5.15
19000	0.021	16.402	0.419	45	0	0.000	0.423	0.177	-107.42	-188.65	0.00	-5.91
20000	0.021	25.034	0.803	40	0	0.000	0.343	-0.549	-102.99	-168.03	0.00	0.00
21000	0.010	34.266	1.331	40	0	0.000	0.451	0.784	-106.76	-168.03	-0.00	1.89
22000	0.005	62.806	1.294	39	0	0.000	0.447	1.668	-107.78	-163.98	0.00	3.98
23000	0.031	8.739	0.690	24	0	0.000	0.440	0.690	-104.72	-106.62	0.00	0.00
24000	0.047	81.330	0.946	36	0	0.000	0.309	-0.337	-108.20	-151.98	0.00	-0.88
25000	0.045	30.343	0.792	37	0	0.000	0.492	0.562	-105.71	-155.95	0.00	0.00
26000	0.001	59.569	1.433	40	0	0.000	0.343	0.723	-109.12	-168.04	-0.00	0.00
27000	0.020	50.463	1.069	41	0	0.000	0.324	0.038	-106.61	-172.12	0.00	-0.54
28000	0.028	23.075	0.933	41	0	0.000	0.429	0.101	-107.65	-172.11	0.00	-4.18
29000	0.039	124.342	1.025	44	0	0.000	0.452	0.416	-105.98	-184.50	0.00	-0.04
30000	0.016	28.087	0.598	43	0	0.000	0.472	0.552	-102.05	-180.33	0.00	0.00
31000	0.004	11.897	0.653	41	0	0.000	0.715	-0.972	-108.50	-172.10	0.00	-3.07
32000	0.029	17.700	1.706	38	0	0.000	0.427	0.038	-101.57	-159.94	-0.00	0.00
33000	0.051	35.329	1.233	37	0	0.000	0.507	0.912	-106.76	-155.94	0.00	0.00
34000	0.025	7.043	0.634	39	0	0.000	0.547	-0.207	-102.59	-163.96	0.00	3.98
35000	0.000	38.070	0.581	46	0	0.000	0.598	0.121	-108.57	-192.85	-0.00	0.00
36000	0.000	16.573	0.608	36	0	0.000	0.556	-0.244	-108.84	-151.95	-0.02	0.00
37000	0.011	27.334	0.747	36	0	0.000	0.562	-0.194	-102.53	-151.95	-0.00	0.00
38000	0.025	45.523	1.429	38	0	0.000	0.256	0.019	-96.95	-159.95	-0.02	0.00
39000	0.030	86.819	1.742	48	0	0.000	0.283	-0.546	-107.71	-201.33	0.00	-1.61
40000	0.003	18.220	1.020	37	0	0.000	0.302	0.039	-96.07	-155.94	0.00	-0.38
41000	0.047	26.132	0.776	38	0	0.000	0.448	0.501	-101.93	-159.93	-0.00	-0.69
42000	0.005	81.977	1.262	36	0	0.000	0.449	0.263	-109.57	-151.97	-0.00	1.57
43000	0.018	58.566	2.049	46	0	0.000	0.186	1.085	-120.15	-192.87	0.00	-0.81
44000	0.067	19.442	1.796	40	0	0.000	0.264	0.656	-105.76	-168.03	0.00	0.00
45000	0.100	37.980	1.137	42	0	0.000	0.607	0.142	-109.67	-176.21	0.00	-0.69
46000	0.096	32.898	3.457	51	0	0.000	0.059	2.528	-106.18	-214.17	0.00	-1.74
47000	0.026	19.850	0.628	46	0	0.000	0.476	-0.071	-99.32	-192.85	0.00	-0.74
48000	0.004	13.830	1.043	43	0	0.000	0.402	-1.042	-114.21	-180.34	-0.00	1.97
49000	0.017	30.011	0.962	41	0	0.000	0.559	0.003	-109.32	-172.11	0.00	0.00
50000	0.025	17.249	2.055	40	0	0.000	0.496	0.077	-111.30	-168.04	0.00	-0.61
51000	0.014	17.310	0.524	36	0	0.000	0.702	0.534	-114.21	-151.96	0.00	-0.69
52000	0.035	18.110	0.491	40	0	0.000	0.403	-0.139	-102.89	-168.03	0.00	0.00
53000	0.012	57.538	1.277	37	0	0.000	0.281	0.176	-101.87	-155.96	-0.00	-0.69
54000	0.048	53.309	1.262	45	0	0.000	0.401	0.274	-103.95	-188.68	0.00	-1.65
55000	0.013	71.601	1.382	48	0	0.000	0.530	-0.501	-106.21	-201.32	-0.00	0.00
56000	0.000	15.989	0.503	31	0	0.000	0.595	-0.274	-106.39	-132.49	0.00	0.00
57000	0.000	31.191	2.226	38	0	0.000	0.443	0.186	-110.73	-159.95	-0.00	0.00
