state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.020	9.757	0.377	30	0	0.000	0.267	0.520	-64.43	-128.68	-0.00	0.00
2000	0.009	23.577	1.080	25	0	0.000	0.276	0.843	-73.32	-110.20	0.00	1.82
3000	0.002	24.566	0.503	35	0	0.000	0.180	1.049	-68.61	-148.02	-0.00	0.00
4000	0.030	60.816	0.177	35	0	0.000	0.351	0.068	-66.30	-148.00	-0.00	0.00
5000	0.066	90.938	0.620	35	0	0.000	0.189	0.301	-64.86	-148.01	0.00	0.00
6000	0.001	60.235	0.238	31	0	0.000	0.246	0.124	-70.75	-132.49	-0.00	0.00
7000	0.014	731.389	0.571	39	0	0.000	0.261	0.229	-70.36	-164.00	-0.06	-0.69
8000	0.015	108.026	0.115	33	0	0.000	0.354	-0.032	-58.29	-140.19	0.00	-0.60
9000	0.001	24.680	0.199	31	0	0.000	0.354	-0.080	-66.46	-132.49	-0.00	-0.69
10000	0.002	32.316	0.085	36	0	0.000	0.267	-0.008	-62.11	-151.95	0.00	0.69
11000	0.005	39.149	0.221	43	0	0.000	0.254	0.517	-66.01	-180.33	-0.00	-0.69
12000	0.003	52.137	0.387	35	0	0.000	0.254	0.800	-64.13	-148.00	0.00	0.00
13000	0.026	19.747	0.267	30	0	0.000	0.230	-0.201	-59.69	-128.69	0.00	-0.21
14000	0.006	31.774	0.815	34	0	0.000	0.224	0.294	-70.51	-144.08	0.01	0.00
15000	0.030	20.303	0.099	31	0	0.000	0.278	0.177	-58.78	-132.49	-0.00	0.00
16000	0.003	27.556	0.412	33	0	0.000	0.220	0.034	-70.56	-140.18	0.00	0.00
17000	0.053	13.175	0.312	34	0	0.000	0.294	0.080	-67.76	-144.09	-0.00	0.00
18000	0.027	28.725	0.366	34	0	0.000	0.303	0.406	-71.48	-144.08	0.00	-1.30
19000	0.062	50.415	0.617	26	0	0.000	0.233	0.106	-76.44	-113.83	-0.00	0.69
20000	0.045	30.996	0.458	39	0	0.000	0.202	0.583	-67.43	-163.96	0.00	0.00
21000	0.002	10.542	0.558	33	0	0.000	0.309	0.007	-67.12	-140.19	0.00	0.00
22000	0.015	33.266	0.287	27	0	0.000	0.251	1.315	-65.19	-117.50	-0.00	0.00
23000	0.022	60.019	0.319	26	0	0.000	0.235	1.246	-61.54	-113.84	-0.00	0.51
24000	0.002	13.629	0.250	40	0	0.000	0.258	-0.163	-63.66	-168.02	-0.00	0.00
25000	0.018	13.241	0.998	38	0	0.000	0.239	0.188	-65.40	-159.94	-0.00	0.00
26000	0.009	35.643	0.126	25	0	0.000	0.222	0.222	-69.36	-110.21	0.00	0.00
27000	0.017	34.659	0.531	39	0	0.000	0.099	0.466	-68.88	-163.98	-0.00	-0.69
28000	0.068	10.367	0.566	36	0	0.000	0.295	0.150	-77.92	-151.95	0.01	0.00
29000	0.012	35.812	0.263	32	0	0.000	0.292	-0.048	-65.95	-136.32	0.00	-1.40
30000	0.005	61.389	0.285	38	0	0.000	0.230	0.003	-60.26	-159.94	-0.00	-0.69
31000	0.019	36.470	0.255	34	0	0.000	0.202	-0.192	-59.07	-144.10	-0.03	0.00
32000	0.064	130.834	0.887	43	0	0.000	0.204	0.442	-81.68	-180.36	0.00	-0.24
33000	0.017	52.400	0.837	37	0	0.000	0.228	0.278	-65.37	-155.93	-0.00	0.69
34000	0.055	127.801	0.322	34	0	0.000	0.227	0.499	-62.21	-144.09	0.00	0.47
35000	0.061	18.993	0.767	34	0	0.000	0.334	0.961	-70.88	-144.08	-0.00	-0.69
36000	0.036	14.715	1.073	34	0	0.000	0.236	0.239	-74.13	-144.08	0.00	4.30
37000	0.061	26.249	0.415	34	0	0.000	0.245	0.717	-73.31	-144.09	0.00	0.00
38000	0.049	79.478	0.398	33	0	0.000	0.230	0.364	-60.41	-140.19	0.00	-2.38
39000	0.000	21.311	0.553	32	0	0.000	0.173	0.230	-66.38	-136.33	0.00	-9.54
40000	0.024	29.246	0.570	28	0	0.000	0.287	0.663	-67.48	-121.19	-0.00	0.00
41000	0.049	79.762	1.241	29	0	0.000	0.191	1.019	-71.50	-124.95	-0.00	1.13
42000	0.023	43.459	0.622	40	0	0.000	0.192	0.569	-69.65	-168.02	0.00	-2.69
43000	0.002	18.758	0.370	33	0	0.000	0.303	0.604	-71.93	-140.18	0.00	-5.61
44000	0.040	25.656	0.106	37	0	0.000	0.357	0.068	-66.98	-155.93	-0.00	0.00
45000	0.004	10.547	0.606	28	0	0.000	0.262	0.360	-68.52	-121.19	0.01	0.00
46000	0.029	47.742	0.448	37	0	0.000	0.214	0.329	-71.64	-155.94	0.00	-3.95
47000	0.003	38.305	0.524	37	0	0.000	0.275	0.159	-71.36	-155.94	0.00	0.00
48000	0.001	59.102	1.408	36	0	0.000	0.229	0.123	-78.49	-151.99	-0.00	0.00
49000	0.004	47.648	0.976	30	0	0.000	0.256	0.263	-75.65	-128.70	-0.00	1.00
50000	0.025	11.733	0.579	37	0	0.000	0.287	-0.309	-73.57	-155.93	0.00	0.69
51000	0.004	7.783	0.570	33	0	0.000	0.291	0.734	-70.01	-140.19	0.01	0.00
52000	0.016	18.284	0.322	32	0	0.000	0.226	-0.126	-63.68	-136.32	0.00	0.69
53000	0.021	12.497	0.245	36	0	0.000	0.258	-0.154	-65.57	-151.95	0.00	0.00
54000	0.025	15.313	0.243	36	0	0.000	0.264	0.286	-61.51	-151.95	0.00	-0.85
55000	0.037	53.128	0.493	37	0	0.000	0.283	0.062	-63.88	-155.94	-0.00	0.69
56000	0.047	12.826	0.502	36	0	0.000	0.285	0.640	-69.59	-151.95	-0.00	0.00
57000	0.022	150.539	0.450	46	0	0.000	0.179	0.535	-66.84	-192.86	-0.03	0.00
58000	0.007	20.243	0.260	32	0	0.000	0.236	0.476	-63.43	-136.32	0.00	4.83
59000	0.098	20.130	0.236	33	0	0.000	0.162	0.117	-60.97	-140.19	0.00	0.00
60000	0.017	30.052	0.309	36	0	0.000	0.224	-0.127	-61.98	-151.96	-0.00	0.69
61000	0.001	23.721	0.373	37	0	0.000	0.243	0.986	-72.59	-155.94	-0.00	-0.69
62000	0.001	16.354	0.824	33	0	0.000	0.233	0.732	-69.29	-140.19	0.00	0.00
63000	0.034	20.952	0.283	29	0	0.000	0.159	1.257	-66.59	-124.94	-0.00	0.59
64000	0.023	12.706	0.353	32	0	0.000	0.258	-0.221	-57.54	-136.33	0.00	-1.55
65000	0.005	25.410	0.619	31	0	0.000	0.177	-0.118	-62.50	-132.50	0.00	0.00
66000	0.021	84.605	0.429	36	0	0.000	0.141	0.317	-67.06	-151.96	0.00	0.69
67000	0.050	36.325	0.580	33	0	0.000	0.090	0.238	-60.40	-140.20	-0.00	1.20
68000	0.081	58.690	0.529	41	0	0.000	0.128	0.051	-61.64	-172.11	-0.00	0.00
69000	0.007	24.816	0.479	32	0	0.000	0.375	0.001	-71.93	-136.32	0.00	-0.22
70000	0.005	25.023	0.137	32	0	0.000	0.345	0.193	-67.95	-136.33	0.00	-3.16
71000	0.001	19.573	0.266	39	0	0.000	0.259	0.367	-65.22	-163.97	-0.00	0.00
72000	0.000	113.295	0.782	38	0	0.000	0.247	0.870	-73.53	-159.95	-0.00	1.91
73000	0.002	5.625	0.524	36	0	0.000	0.247	0.169	-67.68	-151.95	0.00	0.00
74000	0.032	22.142	0.497	35	0	0.000	0.243	-1.024	-59.85	-148.00	-0.00	0.00
75000	0.013	47.328	0.253	37	0	0.000	0.254	-0.226	-59.38	-155.93	0.00	2.61
76000	0.021	33.133	0.427	35	0	0.000	0.233	-0.281	-65.79	-148.00	0.00	-2.32
77000	0.007	47.230	0.495	36	0	0.000	0.233	0.009	-66.95	-151.95	0.00	0.00
78000	0.029	66.764	0.535	38	0	0.000	0.272	-0.162	-60.54	-159.93	0.00	-1.95
79000	0.012	4.822	0.411	35	0	0.000	0.283	-0.349	-68.05	-147.99	0.00	0.00
80000	0.025	7.487	0.151	34	0	0.000	0.296	0.018	-65.02	-144.08	0.00	-5.00
81000	0.002	5.394	0.216	31	0	0.000	0.367	-0.090	-63.98	-132.48	0.00	0.00
82000	0.001	18.181	0.178	26	0	0.000	0.334	0.066	-60.35	-113.83	0.00	4.58
83000	0.031	52.336	0.398	31	0	0.000	0.315	-0.078	-71.47	-132.49	0.01	0.00
84000	0.058	29.295	0.271	32	0	0.000	0.227	0.760	-63.64	-136.32	0.00	-1.20
85000	0.066	44.404	0.260	34	0	0.000	0.245	0.309	-63.43	-144.10	0.00	0.00
86000	0.036	27.302	0.457	31	0	0.000	0.222	0.043	-61.72	-132.50	-0.00	1.17
87000	0.020	25.011	0.738	30	0	0.000	0.251	-0.341	-67.93	-128.69	-0.00	-0.69
88000	0.029	16.546	0.562	30	0	0.000	0.265	0.433	-74.44	-128.69	0.00	0.48
89000	0.003	14.415	0.055	36	0	0.000	0.250	0.604	-65.83	-151.95	0.00	0.61
90000	0.010	25.974	0.265	38	0	0.000	0.285	-0.297	-58.76	-159.93	0.00	0.00
91000	0.002	49.806	0.875	36	0	0.000	0.193	0.092	-63.45	-151.97	-0.00	0.00
92000	0.055	81.386	0.595	37	0	0.000	0.182	0.504	-71.87	-155.94	-0.00	0.00
93000	0.036	19.646	0.402	31	0	0.000	0.241	0.238	-63.17	-132.50	0.00	0.00
94000	0.008	5.397	0.549	38	0	0.000	0.246	0.341	-65.65	-159.93	0.00	-1.75
95000	0.033	27.883	0.199	30	0	0.000	0.224	0.023	-63.76	-128.69	-0.00	-0.69
96000	0.004	43.482	0.167	32	0	0.000	0.225	-0.025	-59.45	-136.32	0.00	-2.58
97000	0.008	24.953	0.125	38	0	0.000	0.289	0.206	-61.01	-159.93	-0.00	0.00
98000	0.001	6.741	0.310	35	0	0.000	0.293	0.058	-71.02	-147.99	-0.00	0.00
99000	0.005	19.045	0.255	38	0	0.000	0.202	1.606	-64.15	-159.94	-0.00	-0.69
100000	0.090	128.201	0.293	41	0	0.000	0.160	-0.199	-67.31	-172.14	0.05	0.00
101000	0.005	21.422	0.225	37	0	0.000	0.244	0.284	-66.05	-155.93	0.01	0.00
102000	0.005	27.386	0.494	31	0	0.000	0.262	0.430	-65.33	-132.49	0.00	-0.05
103000	0.000	24.417	0.409	36	0	0.000	0.259	-0.505	-67.16	-151.95	0.00	-0.69
104000	0.003	22.289	0.351	37	0	0.000	0.225	1.026	-66.98	-155.94	-0.00	1.59
105000	0.013	24.377	0.413	39	0	0.000	0.213	0.059	-72.63	-163.96	0.00	0.69
106000	0.010	56.287	0.568	31	0	0.000	0.287	0.415	-71.71	-132.50	0.00	-0.69
107000	0.023	25.263	0.423	39	0	0.000	0.318	-0.790	-77.35	-163.96	-0.00	0.00
108000	0.005	24.131	0.210	33	0	0.000	0.356	0.037	-60.28	-140.19	0.00	0.00
109000	0.008	4.470	0.257	28	0	0.000	0.266	-0.201	-61.69	-121.18	0.00	0.00
110000	0.028	18.032	0.309	32	0	0.000	0.241	0.510	-72.71	-136.32	0.00	-0.95
111000	0.026	12.725	0.185	32	0	0.000	0.282	1.445	-64.72	-136.32	-0.01	-0.69
112000	0.019	8.329	0.228	28	0	0.000	0.275	1.275	-64.26	-121.19	0.00	0.09
113000	0.012	24.773	0.205	41	0	0.000	0.210	-0.208	-63.81	-172.10	-0.00	-0.69
114000	0.001	15.890	0.338	34	0	0.000	0.270	0.520	-66.93	-144.08	0.00	0.69
115000	0.052	41.075	0.686	31	0	0.000	0.197	0.818	-63.16	-132.50	-0.00	0.79
116000	0.006	31.587	0.996	34	0	0.000	0.294	0.502	-67.28	-144.08	0.00	-7.62
117000	0.014	17.339	0.583	38	0	0.000	0.210	0.072	-68.52	-159.94	0.00	-3.83
118000	0.004	29.601	0.205	37	0	0.000	0.287	0.459	-63.93	-155.92	0.00	-0.69
119000	0.003	152.447	0.382	33	0	0.000	0.313	-0.417	-80.64	-140.20	-0.00	0.14
120000	0.017	78.831	0.176	33	0	0.000	0.262	0.101	-71.16	-140.20	0.00	0.00
121000	0.009	196.986	0.087	27	0	0.000	0.262	-0.002	-59.64	-117.57	-0.00	0.00
122000	0.025	18.946	0.601	39	0	0.000	0.278	0.315	-68.38	-163.97	-0.01	1.77
123000	0.004	263.141	0.198	35	0	0.000	0.361	0.182	-67.48	-148.01	-0.00	0.69
124000	0.013	40.453	0.547	32	0	0.000	0.186	0.546	-63.87	-136.34	0.00	-0.69
125000	0.049	18.506	0.975	36	0	0.000	0.228	0.062	-77.15	-151.96	0.00	0.69
126000	0.001	11.405	0.268	39	0	0.000	0.255	-0.184	-64.12	-163.96	-0.00	0.00
127000	0.005	6.096	0.372	36	0	0.000	0.340	0.739	-69.84	-151.94	0.00	-1.66
128000	0.004	12.171	0.052	38	0	0.000	0.274	-0.012	-60.67	-159.93	0.00	-0.97
129000	0.030	112.897	0.556	35	0	0.000	0.156	0.199	-59.02	-148.04	-0.00	0.00
130000	0.098	128.663	0.475	35	0	0.000	0.217	0.246	-63.96	-148.04	0.00	-0.69
131000	0.014	52.345	0.394	35	0	0.000	0.266	-0.138	-65.50	-148.01	-0.00	0.00
132000	0.004	35.626	0.407	38	0	0.000	0.251	0.048	-69.02	-159.94	-0.00	0.00
133000	0.015	13.063	0.232	33	0	0.000	0.255	0.275	-64.03	-140.18	0.01	0.00
134000	0.086	12.013	0.391	28	0	0.000	0.251	0.008	-70.95	-121.19	-0.00	0.00
135000	0.001	68.883	0.212	38	0	0.000	0.352	0.183	-81.10	-159.95	-0.00	0.69
136000	0.040	92.521	0.721	39	0	0.000	0.176	-2.471	-75.15	-164.01	0.00	0.69
137000	0.036	7.633	0.587	35	0	0.000	0.256	0.092	-66.48	-148.00	-0.00	0.00
138000	0.002	22.815	0.464	29	0	0.000	0.239	0.606	-62.99	-124.92	0.00	4.78
139000	0.001	45.671	0.199	38	0	0.000	0.236	-0.035	-61.30	-159.93	0.00	-4.15
140000	0.016	18.103	0.485	35	0	0.000	0.288	1.162	-64.33	-148.00	-0.00	0.69
141000	0.018	33.053	0.205	35	0	0.000	0.272	0.501	-62.38	-148.00	0.00	0.00
142000	0.007	41.858	0.298	39	0	0.000	0.272	1.427	-66.19	-163.96	0.00	0.00
143000	0.013	16.369	0.105	26	0	0.000	0.216	-0.119	-58.44	-113.82	0.00	-0.51
144000	0.040	50.706	0.800	33	0	0.000	0.262	1.122	-70.90	-140.19	-0.00	0.00
145000	0.001	36.939	0.288	39	0	0.000	0.241	-0.049	-62.80	-163.97	-0.00	1.38
146000	0.003	24.237	0.099	36	0	0.000	0.286	0.060	-70.42	-151.96	0.00	0.00
147000	0.002	69.653	0.559	34	0	0.000	0.207	0.832	-80.14	-144.09	-0.00	0.01
148000	0.110	12.101	0.724	32	0	0.000	0.287	0.455	-71.87	-136.33	0.00	4.21
149000	0.007	35.458	0.147	35	0	0.000	0.287	0.567	-62.56	-148.01	0.00	3.47
150000	0.014	81.033	0.184	33	0	0.000	0.257	0.293	-62.60	-140.20	0.00	0.57
151000	0.024	38.700	0.714	32	0	0.000	0.287	-0.034	-68.66	-136.33	-0.00	0.00
152000	0.017	49.070	0.272	31	0	0.000	0.208	-0.537	-59.41	-132.50	-0.01	-0.69
153000	0.000	7.951	0.130	24	0	0.000	0.305	1.569	-63.38	-106.61	0.00	-2.54
154000	0.012	22.974	0.345	30	0	0.000	0.261	1.268	-66.04	-128.69	0.00	-5.48
155000	0.029	24.169	0.175	37	0	0.000	0.284	1.671	-64.99	-155.93	0.01	0.00
156000	0.020	31.225	0.670	35	0	0.000	0.163	1.276	-65.39	-148.01	0.00	-0.79
157000	0.005	63.772	0.487	37	0	0.000	0.229	0.854	-62.92	-155.95	0.00	-1.51
158000	0.001	17.903	0.304	35	0	0.000	0.297	0.256	-66.38	-148.00	0.00	-1.76
159000	0.035	38.036	0.185	32	0	0.000	0.314	-0.031	-70.42	-136.32	0.00	0.00
160000	0.008	35.888	0.590	38	0	0.000	0.314	-0.277	-69.10	-159.93	-0.00	0.00
161000	0.021	16.833	0.357	36	0	0.000	0.269	-0.177	-67.09	-151.95	0.00	0.24
162000	0.008	32.393	0.233	37	0	0.000	0.289	0.006	-65.66	-155.94	-0.00	1.45
163000	0.003	89.562	0.430	29	0	0.000	0.283	0.341	-59.37	-124.94	-0.00	0.00
164000	0.000	48.533	0.445	31	0	0.000	0.263	0.775	-68.88	-132.50	-0.04	0.00
165000	0.002	54.834	0.329	38	0	0.000	0.204	0.037	-68.99	-159.95	0.00	0.00
166000	0.018	30.517	0.491	41	0	0.000	0.285	0.299	-68.49	-172.10	0.00	0.00
167000	0.007	11.465	0.604	27	0	0.000	0.241	0.828	-69.41	-117.49	0.00	-1.11
168000	0.057	19.816	0.084	29	0	0.000	0.211	-0.239	-61.63	-124.92	0.00	2.74
169000	0.003	47.820	0.171	32	0	0.000	0.259	0.133	-56.30	-136.33	-0.01	1.53
170000	0.010	23.657	0.075	37	0	0.000	0.246	0.048	-69.28	-155.93	0.01	0.00
171000	0.013	18.032	0.196	38	0	0.000	0.246	-0.007	-64.65	-159.93	0.00	-0.35
172000	0.005	19.653	0.428	32	0	0.000	0.256	0.878	-65.27	-136.32	-0.01	0.00
173000	0.038	25.463	0.448	38	0	0.000	0.280	1.370	-71.15	-159.94	0.00	-3.52
174000	0.003	10.552	0.667	32	0	0.000	0.362	0.056	-70.89	-136.33	0.00	-0.53
175000	0.042	13.632	0.966	31	0	0.000	0.101	-0.097	-69.86	-132.50	0.00	-2.40
176000	0.005	53.824	0.122	32	0	0.000	0.244	0.104	-59.99	-136.33	-0.00	0.00
177000	0.026	22.333	0.585	31	0	0.000	0.145	0.562	-72.49	-132.50	0.00	0.00
178000	0.021	45.002	0.734	36	0	0.000	0.193	0.574	-68.72	-151.97	-0.00	0.00
179000	0.009	8.253	0.186	37	0	0.000	0.284	0.135	-60.65	-155.92	-0.01	0.00
180000	0.009	51.109	0.747	33	0	0.000	0.233	0.154	-73.52	-140.20	0.00	4.10
181000	0.027	16.589	0.232	28	0	0.000	0.258	0.129	-58.28	-121.19	0.00	-0.69
182000	0.004	13.069	0.113	30	0	0.000	0.273	0.694	-64.36	-128.69	0.00	4.86
183000	0.004	11.924	0.526	34	0	0.000	0.260	-0.097	-61.48	-144.08	-0.00	0.00
184000	0.211	128.224	0.521	31	0	0.000	0.275	0.608	-76.13	-132.51	0.00	0.00
185000	0.000	17.271	0.303	38	0	0.000	0.315	0.073	-65.84	-159.93	0.00	-3.86
186000	0.002	16.831	0.411	26	0	0.000	0.270	-1.223	-63.83	-113.83	0.00	0.00
187000	0.002	17.188	0.105	32	0	0.000	0.281	0.323	-64.40	-136.32	-0.00	-0.69
188000	0.012	80.248	0.866	28	0	0.000	0.239	0.461	-70.66	-121.19	0.00	-2.99
189000	0.009	249.197	0.676	33	0	0.000	0.190	0.817	-69.16	-140.21	0.00	0.00
190000	0.026	38.522	0.325	34	0	0.000	0.289	0.922	-74.95	-144.10	0.00	-3.41
191000	0.034	13.947	0.215	28	0	0.000	0.329	-0.067	-65.42	-121.18	-0.00	0.15
192000	0.040	326.284	0.233	37	0	0.000	0.256	-0.014	-64.31	-155.94	-0.00	0.00
193000	0.003	87.605	0.127	35	0	0.000	0.228	0.426	-55.40	-148.02	-0.00	0.00
194000	0.040	56.566	0.728	33	0	0.000	0.111	0.221	-60.29	-140.20	0.00	0.69
195000	0.099	113.593	0.919	44	0	0.000	0.171	-0.006	-83.96	-184.51	-0.00	-0.69
196000	0.006	8.546	0.109	34	0	0.000	0.300	0.170	-67.63	-144.07	0.00	-3.39
197000	0.020	88.417	0.434	38	0	0.000	0.236	1.188	-73.59	-159.94	0.00	-0.69
198000	0.014	17.387	0.114	33	0	0.000	0.299	0.233	-65.56	-140.18	0.00	1.90
199000	0.009	14.293	0.263	32	0	0.000	0.269	0.089	-56.08	-136.32	-0.00	0.93
200000	0.002	71.235	0.164	25	0	0.000	0.243	0.021	-68.49	-110.22	0.00	-1.57
201000	0.017	33.579	0.610	37	0	0.000	0.216	0.071	-72.79	-155.94	-0.00	0.00
202000	0.005	13.121	0.276	41	0	0.000	0.374	-0.012	-65.63	-172.09	0.00	-1.20
203000	0.048	72.842	0.532	37	0	0.000	0.250	0.168	-65.20	-155.94	-0.00	-0.69
204000	0.004	21.756	0.078	32	0	0.000	0.295	-0.021	-68.66	-136.32	0.00	-3.48
205000	0.023	16.554	0.286	28	0	0.000	0.215	0.727	-65.86	-121.20	0.00	0.69
206000	0.037	131.257	0.093	30	0	0.000	0.251	-0.038	-64.01	-128.71	0.00	-5.21
207000	0.034	106.601	0.564	39	0	0.000	0.145	3.856	-71.79	-164.00	0.00	-0.83
208000	0.002	30.622	0.764	41	0	0.000	0.183	1.120	-70.06	-172.11	-0.00	-0.69
209000	0.024	23.796	0.210	35	0	0.000	0.313	0.295	-67.84	-148.00	0.00	-1.02
210000	0.006	6.571	0.300	35	0	0.000	0.339	0.542	-73.62	-147.99	-0.00	0.15
211000	0.083	44.114	0.656	36	0	0.000	0.292	-0.007	-73.77	-151.95	0.00	3.35
212000	0.007	87.556	0.663	38	0	0.000	0.166	-0.017	-77.78	-159.98	-0.00	-0.69
213000	0.025	52.289	1.000	36	0	0.000	0.180	1.494	-80.59	-151.97	0.00	-1.38
214000	0.005	28.480	0.499	40	0	0.000	0.212	1.766	-63.80	-168.02	0.00	-0.69
215000	0.005	88.471	0.321	34	0	0.000	0.311	0.881	-83.03	-144.09	-0.00	0.00
216000	0.030	18.314	0.306	35	0	0.000	0.287	0.018	-65.39	-148.00	0.00	4.20
217000	0.028	10.409	0.212	32	0	0.000	0.285	0.112	-58.92	-136.32	-0.00	0.00
218000	0.000	36.694	0.328	33	0	0.000	0.302	-0.263	-72.52	-140.20	0.00	0.00
219000	0.084	50.270	1.068	38	0	0.000	0.223	-0.409	-74.37	-159.94	-0.00	-0.69
220000	0.002	30.547	0.312	33	0	0.000	0.224	-0.114	-64.51	-140.19	-0.00	0.00
221000	0.185	16.609	0.768	28	0	0.000	0.213	-0.557	-65.43	-121.19	0.00	-0.44
222000	0.029	15.187	0.455	37	0	0.000	0.314	0.214	-72.04	-155.93	-0.02	0.00
223000	0.013	36.079	0.450	40	0	0.000	0.346	-0.278	-73.27	-168.02	0.00	0.00
224000	0.006	19.383	0.654	30	0	0.000	0.235	0.260	-73.63	-128.69	0.00	0.25
225000	0.006	39.789	1.290	28	0	0.000	0.235	0.585	-66.54	-121.19	-0.00	0.00
226000	0.025	314.258	0.844	43	0	0.000	0.156	1.320	-79.77	-180.37	0.00	4.83
227000	0.022	7.237	0.410	42	0	0.000	0.256	1.597	-68.89	-176.20	-0.00	0.84
228000	0.127	51.444	0.346	34	0	0.000	0.224	0.224	-71.72	-144.08	-0.00	1.55
229000	0.124	28.181	0.322	41	0	0.000	0.140	0.338	-59.89	-172.12	-0.00	0.00
