state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
1000	0.025	82.611	3.335	39	0	0.000	0.347	-0.450	-118.72	-164.00	0.00	-0.01
2000	0.208	19.890	2.146	31	0	0.000	0.452	-0.323	-105.60	-132.51	0.00	2.82
3000	0.073	14.852	1.468	43	0	0.000	0.396	0.035	-111.26	-180.34	-0.00	0.46
4000	0.041	70.572	1.712	50	0	0.000	0.586	-0.093	-121.40	-209.87	0.00	0.00
5000	0.007	22.473	0.999	43	0	0.000	0.682	-1.029	-114.33	-180.34	-0.00	0.00
6000	0.006	20.179	1.661	31	0	0.000	0.404	-0.269	-110.52	-132.50	0.00	0.00
7000	0.010	28.888	0.776	47	0	0.000	0.602	-0.623	-113.06	-197.07	0.00	0.00
8000	0.069	266.945	1.780	45	0	0.000	0.304	-0.489	-118.92	-188.76	0.00	-1.33
9000	0.028	213.764	1.130	40	0	0.000	0.362	-1.576	-112.56	-168.03	0.00	2.46
10000	0.061	11.743	0.771	42	0	0.000	0.522	-1.375	-114.44	-176.20	0.00	-0.69
11000	0.002	112.584	1.307	44	0	0.000	0.336	-0.518	-111.74	-184.54	0.00	-0.21
12000	0.035	69.092	1.252	47	0	0.000	0.480	0.138	-115.41	-197.09	-0.00	0.00
13000	0.058	70.111	1.338	46	0	0.000	0.467	-0.816	-114.68	-192.88	0.00	-2.53
14000	0.068	42.384	1.872	43	0	0.000	0.353	0.105	-120.75	-180.36	0.00	0.00
15000	0.031	82.963	0.943	38	0	0.000	0.594	-0.366	-117.67	-159.94	-0.00	0.00
16000	0.046	25.593	1.665	44	0	0.000	0.357	-0.561	-113.90	-184.50	0.00	0.00
17000	0.011	349.136	1.142	37	0	0.000	0.508	0.290	-112.49	-155.95	-0.00	0.00
18000	0.002	41.811	0.722	42	0	0.000	0.408	-0.013	-121.67	-176.22	0.00	0.15
19000	0.109	17.323	0.792	45	0	0.000	0.528	-0.300	-111.99	-188.66	0.00	-0.69
20000	0.000	6.087	0.492	37	0	0.000	0.705	0.074	-117.40	-155.92	-0.00	0.00
21000	0.012	33.240	1.399	42	0	0.000	0.537	-0.705	-115.77	-176.21	0.00	0.00
22000	0.006	81.403	2.070	43	0	0.000	0.343	-0.839	-111.81	-180.36	0.00	-1.99
23000	0.025	65.080	1.039	52	0	0.000	0.420	-0.250	-111.28	-218.49	0.00	1.88
24000	0.044	30.829	1.116	45	0	0.000	0.426	1.686	-115.29	-188.67	-0.03	0.00
25000	0.001	67.531	1.272	37	0	0.000	0.501	-0.727	-114.22	-155.94	-0.00	-0.69
26000	0.002	109.729	1.072	42	0	0.000	0.470	-1.707	-112.20	-176.22	0.00	0.00
27000	0.054	39.632	2.130	47	0	0.000	0.408	-1.865	-118.80	-197.10	-0.00	-0.69
28000	0.005	125.211	1.481	40	0	0.000	0.423	-0.646	-110.13	-168.03	0.00	0.68
29000	0.002	15.672	0.897	38	0	0.000	0.578	0.074	-112.83	-159.94	-0.00	0.69
30000	0.051	20.504	2.142	40	0	0.000	0.465	-0.356	-108.15	-168.04	0.00	-1.44
31000	0.007	102.472	0.752	41	0	0.000	0.414	-0.591	-109.03	-172.11	0.00	4.53
32000	0.001	15.166	1.116	41	0	0.000	0.569	-0.391	-112.96	-172.10	0.00	4.15
33000	0.003	66.082	1.005	37	0	0.000	0.465	-0.623	-107.64	-155.94	0.00	0.00
34000	0.072	34.521	1.430	41	0	0.000	0.378	-1.191	-121.27	-172.13	0.00	-0.69
35000	0.015	10.698	1.156	46	0	0.000	0.539	-0.260	-109.17	-192.85	-0.00	0.00
36000	0.126	93.366	1.578	41	0	0.000	0.435	-0.936	-118.90	-172.13	-0.00	0.00
37000	0.012	109.257	0.756	44	0	0.000	0.584	-0.144	-117.40	-184.52	0.00	-0.64
38000	0.005	96.007	1.021	47	0	0.000	0.332	-2.659	-121.63	-197.10	0.00	-0.06
39000	0.017	38.956	1.519	48	0	0.000	0.363	-1.634	-116.57	-201.32	0.00	-4.99
40000	0.002	26.385	1.201	40	0	0.000	0.537	-0.437	-114.41	-168.03	-0.00	0.00
41000	0.001	20.060	1.352	48	0	0.000	0.607	-0.497	-120.07	-201.32	-0.00	0.00
42000	0.004	22.515	1.725	46	0	0.000	0.463	-0.303	-112.75	-192.86	0.00	-0.15
43000	0.062	524.791	1.707	43	0	0.000	0.078	-0.856	-121.20	-180.45	0.00	-0.15
44000	0.038	143.493	1.232	43	0	0.000	0.380	-1.558	-120.80	-180.36	-0.00	-0.69
