Strategy,Mean_LI
Strat6,0.689883821
Strat6,0.710569364
Strat6,0.700329118
Strat6,0.704256875
Strat6,0.694536943
Strat6,0.701470107
Strat6,0.712369038
Strat6,0.696904961
Strat6,0.694769291
Strat6,0.70253141
Strat6,0.705911954
Strat6,0.713804588
Strat6,0.697012528
Strat6,0.703192464
Strat6,0.698600911
Strat6,0.70635207
Strat6,0.705845105
Strat6,0.704842654
Strat6,0.699546517
Strat6,0.701602834
Strat6,0.701481833
Strat6,0.707724268
Strat6,0.704434928
Strat6,0.709593769
Strat6,0.701756726
Strat6,0.702218324
Strat6,0.702478399
Strat6,0.70312323
Strat6,0.698552014
Strat6,0.708793508
Strat6,0.709731127
Strat6,0.693449131
Strat6,0.701905856
Strat6,0.697830699
Strat6,0.698379882
Strat6,0.698460555
Strat6,0.691199718
Strat6,0.688027096
Strat6,0.694044748
Strat6,0.705711865
Strat6,0.700194729
Strat6,0.693690497
Strat6,0.703404115
Strat6,0.708168671
Strat6,0.688082569
Strat6,0.703412637
Strat6,0.695375309
Strat6,0.694786018
Strat6,0.711965468
Strat6,0.695920041
Strat6,0.699324412
Strat6,0.705882457
Strat6,0.706249464
