state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
784000	0.015	39.056	0.133	27	0	0.000	0.057	-0.453	-2.57	-117.49	0.00	-1.02
785000	0.016	17.666	0.128	27	0	0.000	0.065	-0.106	-10.85	-117.49	-0.00	0.00
786000	0.022	27.198	0.155	28	0	0.000	0.015	-0.041	-8.11	-121.19	-0.01	0.00
787000	0.001	47.569	0.052	29	0	0.000	0.077	2.226	-13.61	-124.94	0.00	-2.69
788000	0.005	226.253	0.144	32	0	0.000	0.020	0.111	-5.98	-136.33	0.00	-0.69
789000	0.023	55.025	0.068	28	0	0.000	0.072	-0.109	-11.25	-121.19	0.00	-2.59
790000	0.051	23.980	0.272	35	0	0.000	0.021	0.029	-15.27	-148.00	0.00	-0.45
791000	0.010	330.877	0.139	24	0	0.000	0.066	0.012	-19.44	-106.64	0.00	-0.69
792000	0.028	187.079	0.133	30	0	0.000	0.040	0.331	-23.53	-128.71	0.00	0.00
793000	0.047	131.763	0.115	28	0	0.000	0.032	-0.246	-17.20	-121.21	0.00	-0.93
794000	0.006	623.544	0.156	29	0	0.000	0.053	0.288	-12.07	-124.96	-0.00	0.00
795000	0.002	66.827	0.210	31	0	0.000	0.054	-0.099	-7.75	-132.50	0.00	-0.69
796000	0.003	57.902	0.115	32	0	0.000	0.062	0.015	-20.17	-136.34	0.00	0.00
797000	0.042	19.190	0.081	28	0	0.000	0.014	0.092	-4.86	-121.19	-0.00	-0.69
798000	0.024	18.198	0.123	27	0	0.000	0.031	1.220	-9.04	-117.49	-0.00	0.50
799000	0.023	20.769	0.138	27	0	0.000	0.044	-0.233	-4.18	-117.49	-0.00	0.00
800000	0.021	70.202	0.077	32	0	0.000	0.085	0.395	0.02	-136.33	-0.00	-0.69
801000	0.009	50.770	0.148	24	0	0.000	0.040	-0.149	-3.03	-106.62	0.00	0.00
802000	0.007	98.922	0.094	28	0	0.000	0.051	0.058	-3.07	-121.19	0.00	-1.06
803000	0.018	59.353	0.041	29	0	0.000	0.047	-0.423	-8.55	-124.93	-0.00	0.00
804000	0.005	466.013	0.128	27	0	0.000	0.046	2.419	-13.64	-117.52	0.04	0.00
805000	0.001	268.329	0.066	28	0	0.000	0.066	-0.278	-7.91	-121.21	0.00	-2.45
806000	0.002	15.191	0.053	29	0	0.000	0.063	-0.295	-2.90	-124.92	-0.01	0.00
807000	0.013	49.622	0.040	25	0	0.000	0.076	0.532	-3.64	-110.21	0.00	0.69
808000	0.031	40.627	0.147	33	0	0.000	0.030	-0.338	-8.26	-140.19	0.00	-1.11
809000	0.012	12.316	0.172	27	0	0.000	0.058	-0.463	-17.22	-117.49	-0.01	0.00
810000	0.022	453.184	0.159	31	0	0.000	0.040	-0.275	-14.86	-132.52	-0.00	0.62
811000	0.008	49.783	0.092	36	0	0.000	0.047	-0.000	-10.68	-151.95	0.00	-1.82
812000	0.038	52.137	0.097	21	0	0.000	0.051	0.147	-4.27	-96.11	-0.00	-0.69
813000	0.045	46.322	0.738	32	0	0.000	0.018	0.813	-22.41	-136.32	0.00	-0.87
814000	0.018	35.035	0.179	32	0	0.000	0.026	0.420	-13.29	-136.32	-0.00	0.00
815000	0.002	51.551	0.065	32	0	0.000	0.024	0.088	-7.18	-136.33	0.00	0.00
816000	0.032	58.282	0.197	33	0	0.000	0.013	-0.642	-13.41	-140.20	-0.00	-0.69
817000	0.069	54.695	0.094	27	0	0.000	0.020	0.088	-5.06	-117.50	0.00	0.62
818000	0.011	105.253	0.166	27	0	0.000	0.060	1.086	-17.01	-117.51	0.00	1.20
819000	0.053	18.371	0.069	30	0	0.000	0.056	0.087	-10.37	-128.69	-0.00	-0.69
820000	0.031	28.975	0.088	31	0	0.000	0.038	-0.549	-7.50	-132.49	0.00	-1.77
821000	0.021	48.308	0.103	32	0	0.000	0.049	0.651	-0.46	-136.32	-0.00	0.00
822000	0.018	8.967	0.041	26	0	0.000	0.073	0.456	-6.01	-113.82	-0.00	0.00
823000	0.003	73.739	0.103	33	0	0.000	0.058	-0.080	-14.86	-140.19	0.00	0.69
824000	0.054	46.603	0.168	30	0	0.000	0.040	-0.260	-20.86	-128.69	0.00	4.49
825000	0.014	63.229	0.028	28	0	0.000	0.053	0.631	-14.91	-121.21	-0.00	-0.69
826000	0.004	141.478	0.064	25	0	0.000	0.056	-0.095	1.97	-110.21	0.00	-1.47
827000	0.011	22.895	0.097	26	0	0.000	0.103	-0.029	-8.74	-113.83	0.00	0.00
828000	0.002	447.567	0.080	27	0	0.000	0.077	-0.304	-9.24	-117.52	0.00	3.61
829000	0.029	406.042	0.077	25	0	0.000	0.005	-0.254	3.21	-110.25	0.00	0.31
830000	0.035	102.458	0.082	29	0	0.000	0.002	-0.356	4.18	-124.94	0.00	-0.69
831000	0.007	19.626	0.043	28	0	0.000	0.076	-0.695	0.99	-121.19	0.00	-2.89
832000	0.002	470.052	0.160	32	0	0.000	0.029	-0.303	-9.77	-136.38	-0.00	-0.69
833000	0.012	105.452	0.097	35	0	0.000	0.036	0.055	-6.37	-148.03	0.00	0.69
834000	0.045	94.649	0.114	26	0	0.000	0.047	-0.294	-11.98	-113.86	0.00	1.90
835000	0.011	62.395	0.086	34	0	0.000	0.041	-0.414	-6.61	-144.10	0.00	-0.88
836000	0.004	100.552	0.075	31	0	0.000	0.091	-0.749	-12.21	-132.52	0.00	-0.18
837000	0.004	28.725	0.063	28	0	0.000	0.043	-0.344	4.34	-121.18	0.00	-0.41
838000	0.001	134.634	0.167	33	0	0.000	0.053	0.209	-14.96	-140.19	-0.00	0.00
839000	0.036	35.035	0.144	29	0	0.000	0.016	-0.170	-17.40	-124.92	0.00	0.69
840000	0.030	68.618	0.053	30	0	0.000	0.063	0.775	-0.93	-128.69	-0.00	0.69
841000	0.028	36.244	0.122	30	0	0.000	0.047	0.541	-21.52	-128.70	-0.00	1.54
842000	0.005	22.540	0.026	29	0	0.000	0.092	-0.327	-5.14	-124.92	-0.00	0.43
843000	0.008	14.226	0.048	22	0	0.000	0.057	-0.497	-5.59	-99.57	0.00	0.69
844000	0.001	211.808	0.086	28	0	0.000	0.050	0.295	-7.81	-121.22	-0.00	1.82
845000	0.001	81.923	0.076	29	0	0.000	0.047	-0.144	-2.55	-124.93	-0.00	0.00
846000	0.022	128.051	0.144	32	0	0.000	0.058	-0.209	-17.76	-136.33	-0.00	0.38
847000	0.016	76.102	0.099	29	0	0.000	0.042	-0.411	-20.58	-124.93	0.00	-0.68
848000	0.004	9.273	0.064	25	0	0.000	0.063	-0.165	3.21	-110.20	0.00	4.36
849000	0.024	66.057	0.082	23	0	0.000	0.036	0.395	2.66	-103.07	-0.00	0.00
850000	0.018	41.781	0.092	27	0	0.000	0.038	-0.188	1.25	-117.49	-0.00	0.00
851000	0.005	75.693	0.108	27	0	0.000	0.093	-0.314	-9.42	-117.50	0.00	0.00
852000	0.004	229.508	0.128	32	0	0.000	0.041	0.129	-8.20	-136.34	0.00	0.00
853000	0.040	50.342	0.171	27	0	0.000	0.038	-0.259	-1.78	-117.49	-0.00	0.00
854000	0.006	107.642	0.106	34	0	0.000	0.048	-0.032	-15.18	-144.10	-0.01	0.69
855000	0.012	30.059	0.099	26	0	0.000	0.053	-0.309	-11.92	-113.84	0.00	-4.80
856000	0.011	21.536	0.058	25	0	0.000	0.049	-0.002	4.65	-110.20	-0.00	0.14
857000	0.053	22.676	0.070	21	0	0.000	0.051	0.395	-8.72	-96.11	-0.00	-0.69
